报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),227938,186608,165366,172986,171811,169074,149468,167710,223044,114717,135543,123336,107091,39479,19873,23582,42739,24862,27126,7112,17300,11201,13700,16504,30660,17399,21206,18282,26279,18511,22536,17736,22981,26802,37716,52999,16594,11586,8184,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收票据(万元),25155,29808,32038,22364,1767,515,371,561,406,854,4084,2902,2092,1319,1380,1720,74,--,134,10,45,--,--,--,--,507,491,357,349,--,--,--,569,--,0,--,0,298,54,
应收账款(万元),246228,215760,185988,159741,112798,118470,109038,92111,86334,94171,98198,91490,69840,81961,69336,59303,48026,52416,43453,8272,9044,14619,19065,14867,15106,16991,18152,16453,17217,12266,15954,12829,16502,16354,14229,10917,9228,5107,4960,
预付款项(万元),21307,24597,23069,20598,10476,20486,19420,17746,14586,17209,18073,18063,14552,13238,13146,12245,10573,10325,8147,4649,2222,1049,3538,9327,2302,15512,5932,7839,6111,7609,4045,5774,4223,11639,5254,3269,1387,1013,497,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收利息(万元),326,--,615,540,332,328,371,208,49,1037,703,1129,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收股利(万元),139,--,139,--,650,--,--,--,--,--,--,--,--,17,17,--,--,342,354,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他应收款(万元),--,23081,21752,22660,18255,20540,25927,19908,18635,23049,20775,19217,14465,16768,12616,9912,11020,11424,11228,1109,1048,1483,1335,936,929,1393,1304,1460,1330,1671,1248,1038,1010,929,883,679,1115,656,373,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
存货(万元),216277,200784,175881,171202,109878,116483,113172,114492,112296,113241,106236,97667,41790,48693,46775,51961,56173,60787,66540,24889,24088,28144,23802,17624,22611,26021,18500,16373,12216,17526,17152,17693,12148,15797,13977,11754,10789,9580,10969,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
一年内到期的非流动资产(万元),4937,3802,3856,3123,767,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他流动资产(万元),56649,82612,91109,116276,84279,84941,84290,83136,63259,110078,99698,122354,121404,435,518,334,405,--,--,653,657,998,--,--,1847,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
流动资产合计(万元),821307,767052,699811,689491,511015,530837,502058,495872,518610,474356,483309,476158,371234,201910,163661,159058,169010,160158,156982,46694,54405,57494,61440,59259,73455,77823,65585,60765,63503,57582,60936,55070,57433,71521,72058,79617,39112,28240,25037,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
可供出售金融资产(万元),16918,12109,12340,12771,26667,20514,20515,19802,6246,3046,3046,2098,1178,1178,718,718,718,718,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
