报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),27051,29549,33300,10634,6962,9891,7429,1991,5522,5203,
结算备付金(万元),0,0,0,--,--,--,--,--,--,--,
拆出资金(万元),0,0,0,--,--,--,--,--,--,--,
交易性金融资产(万元),0,0,0,--,--,--,--,--,--,--,
衍生金融资产(万元),0,0,0,--,--,--,--,--,--,--,
应收票据(万元),1435,998,1798,1119,297,189,665,593,--,22,
应收账款(万元),15929,15845,14317,15423,12330,10802,10580,4076,8065,8999,
预付款项(万元),392,154,19,306,246,527,242,9,27,5,
应收保费(万元),0,0,0,--,--,--,--,--,--,--,
应收分保账款(万元),0,0,0,--,--,--,--,--,--,--,
应收分保合同准备金(万元),0,0,0,--,--,--,--,--,--,--,
应收利息(万元),0,0,0,--,--,--,--,--,--,--,
应收股利(万元),0,0,0,--,--,--,--,--,--,--,
其他应收款(万元),2258,853,843,372,840,642,486,517,632,1054,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),0,0,0,--,--,--,--,--,--,--,
存货(万元),1984,882,1219,1547,1843,827,2532,2554,1928,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),0,0,0,--,--,--,--,--,--,--,
其他流动资产(万元),130,190,175,179,264,128,125,6516,140,89,
流动资产合计(万元),49180,48471,51671,29580,22782,23006,22059,16256,16314,15373,
发放贷款及垫款(万元),0,0,0,--,--,--,--,--,--,--,
可供出售金融资产(万元),1943,1947,200,192,192,--,--,--,--,--,
持有至到期投资(万元),0,0,0,--,--,--,--,--,--,--,
长期应收款(万元),0,0,0,--,--,--,--,--,--,--,
长期股权投资(万元),701,683,622,522,493,471,411,249,--,112,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),0,0,0,--,--,--,--,--,--,--,
固定资产原值(万元),--,2086,--,1737,1732,1361,1336,1226,1155,--,
累计折旧(万元),--,1106,--,1012,952,898,845,785,719,--,
固定资产净值(万元),--,980,--,726,780,464,491,442,436,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),913,980,1026,726,780,464,491,442,436,561,
在建工程(万元),0,0,0,--,--,--,--,--,--,--,
工程物资(万元),0,0,0,--,--,--,--,--,--,--,
固定资产清理(万元),0,0,0,--,--,--,--,--,--,--,
生产性生物资产(万元),0,0,0,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),0,0,0,--,--,--,--,--,--,--,
无形资产(万元),232,255,280,307,335,365,432,519,614,404,
开发支出(万元),0,0,0,--,--,--,--,--,--,--,
商誉(万元),80,80,80,80,80,80,80,66,66,--,
长期待摊费用(万元),113,138,164,190,216,241,295,319,119,108,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),166,166,154,154,243,243,394,319,283,242,
其他非流动资产(万元),0,0,0,--,--,--,--,--,--,--,
非流动资产合计(万元),4148,4250,2527,2171,2339,1864,2103,1915,1519,1428,
资产总计(万元),53328,52720,54197,31751,25120,24870,24163,18171,17833,16801,
短期借款(万元),0,1000,1000,1000,1000,--,1000,--,600,1419,
向中央银行借款(万元),0,0,0,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),0,0,0,--,--,--,--,--,--,--,
拆入资金(万元),0,0,0,--,--,--,--,--,--,--,
交易性金融负债(万元),0,0,0,--,--,--,--,--,--,--,
衍生金融负债(万元),0,0,0,--,--,--,--,--,--,--,
应付票据(万元),0,0,0,--,--,--,--,--,--,--,
应付账款(万元),6144,5219,5349,7547,4685,4869,4111,3932,4611,3177,
预收账款(万元),1,225,376,169,1485,1097,953,1293,335,534,
卖出回购金融资产款(万元),0,0,0,--,--,--,--,--,--,--,
应付手续费及佣金(万元),0,0,0,--,--,--,--,--,--,--,
应付职工薪酬(万元),442,386,315,1080,532,413,1120,734,699,626,
应交税费(万元),1620,1589,1987,2549,1329,2299,2202,1491,1283,1310,
应付利息(万元),0,1,2,--,1,--,2,--,1,3,
应付股利(万元),0,0,0,135,135,135,269,1236,1000,1000,
