报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),21830,33624,4915,9095,4941,4152,2834,2544,527,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,521,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),30,40,1559,4663,4003,4964,2786,1277,809,
应收账款(万元),4324,3289,3448,3245,3454,3578,3589,3317,1574,
预付款项(万元),2659,2735,1424,878,1841,1171,574,1079,749,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),311,317,962,166,391,1186,817,630,526,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),4855,4014,3414,3524,3743,5423,5324,4181,3816,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),15,34,48,68,276,169,104,--,--,
其他流动资产(万元),26805,14878,2787,650,196,642,414,249,229,
流动资产合计(万元),60829,58931,18558,22288,18844,21286,16443,13276,8752,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,3,14,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,25982,--,24215,20910,--,17730,--,--,
累计折旧(万元),--,6418,--,5493,3990,--,2902,--,--,
固定资产净值(万元),--,19564,--,18722,16920,--,14827,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),21479,19564,18392,18722,16920,16214,14827,3837,3812,
在建工程(万元),9914,7154,5232,1127,763,434,1611,9025,5758,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),4006,4010,4026,1672,1015,1045,1020,1095,1088,
开发支出(万元),--,--,61,103,492,313,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),2130,2172,1955,1987,419,246,237,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),124,114,123,120,50,456,76,65,55,
其他非流动资产(万元),3579,2321,1786,3719,--,--,--,--,--,
非流动资产合计(万元),41232,35334,31576,27450,19660,18711,17785,14022,10713,
资产总计(万元),102062,94265,50134,49739,38504,39997,34227,27298,19465,
短期借款(万元),--,--,--,--,--,--,--,1000,2630,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),5397,4972,317,--,1105,394,253,--,236,
应付账款(万元),7607,6068,6793,5704,4915,3808,4017,2785,2674,
预收账款(万元),8993,7114,4968,5468,2911,5150,3243,3347,2203,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1107,1014,845,1185,795,194,402,462,321,
应交税费(万元),1684,1188,723,1370,1051,985,1835,2070,563,
应付利息(万元),--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,1025,1025,2491,2889,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),6767,6224,5851,5186,3462,3737,3332,2506,1233,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,2500,2250,1000,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,
流动负债合计(万元),31555,26580,19496,18914,14239,17794,16358,15661,12749,
长期借款(万元),--,--,--,--,--,2500,3750,2000,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,
