报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),5028071,5181757,4551445,5313783,5578876,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),506591,454035,554559,457974,61476,
交易性金融资产(万元),136814,77842,124810,110480,190200,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),--,--,--,--,--,
应收账款(万元),--,--,--,--,--,
预付款项(万元),--,--,--,--,--,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),220750,200826,174675,107198,110352,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),4230558,2323084,1178639,342906,1338443,
存货(万元),--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,
流动资产合计(万元),--,--,--,--,--,
发放贷款及垫款(万元),14088150,13915196,13181172,12935204,12114392,
可供出售金融资产(万元),4876842,3480699,4006203,1554684,845809,
持有至到期投资(万元),6237707,5889613,4521839,2925137,2841347,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),62723,60420,56773,49100,42776,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),213510,213433,213451,205076,199263,
累计折旧(万元),110995,107788,102190,92772,78043,
固定资产净值(万元),102515,105644,111261,112305,121220,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),102515,105644,111261,112305,121220,
在建工程(万元),--,--,--,6151,5918,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),3695,3842,4151,12468,13290,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),187331,178906,163591,120385,98147,
其他非流动资产(万元),181508,138753,71919,61164,52810,
非流动资产合计(万元),--,--,--,--,--,
资产总计(万元),40991659,37822316,36094676,32144534,30022974,
短期借款(万元),--,--,--,--,--,
向中央银行借款(万元),14600,23600,103570,99523,111806,
吸收存款及同业存放(万元),30337051,29050000,27711390,24946915,23019376,
拆入资金(万元),33888,42841,90358,197112,511193,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,--,
应付账款(万元),--,--,--,--,--,
预收账款(万元),--,--,--,--,--,
卖出回购金融资产款(万元),4278687,2900280,2782555,2079952,3309854,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),145299,127403,153300,144942,138644,
应交税费(万元),45540,34534,37508,33927,29972,
应付利息(万元),317788,328333,289357,302024,253918,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),--,--,--,--,--,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),--,--,--,--,--,
长期借款(万元),--,--,--,--,--,
应付债券(万元),3175169,2794627,2626041,2148650,734998,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,19,--,
长期递延收益(万元),--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),246416,241910,102222,163560,93284,
非流动负债合计(万元),--,--,--,--,--,
负债合计(万元),38594437,35543528,33896299,30116626,28203045,
实收资本(或股本)(万元),325103,325103,325103,325103,325103,
资本公积(万元),402383,402383,402383,402383,402383,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),186035,186035,186035,160313,132231,
一般风险准备(万元),444621,444621,444621,386541,348768,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),1029207,913435,829485,736813,602326,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),2390052,2271689,2191252,2021108,1813628,
少数股东权益(万元),7170,7099,7124,6801,6301,
所有者权益(或股东权益)合计(万元),2397222,2278789,2198376,2027908,1819929,
负债和所有者权益(或股东权益)总计(万元),40991659,37822316,36094676,32144534,30022974,		
  
