报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),142288,181017,87213,63416,70253,81682,88350,103379,100876,135632,104838,86214,79570,115148,130940,153684,56922,72757,90634,48832,91788,92953,93127,58450,66182,57632,41351,81329,53525,52748,52291,30994,43055,51477,44328,37062,42408,75976,78928,87579,5251,6593,14445,10237,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
应收票据(万元),25,79,321,2634,6716,1696,700,7874,3616,4603,5121,10280,6639,5308,7011,12419,13109,5596,6143,1795,4810,1700,4320,4270,3954,110,326,--,200,200,150,1000,0,55,285,50,0,--,--,14,0,0,0,0,
应收账款(万元),84828,76067,60806,78141,76833,84554,40965,81106,72629,64225,55251,55310,39144,48706,34621,16955,15207,22854,19734,22118,16659,18642,30544,18335,13979,27804,15437,9251,14937,20657,12669,8260,7398,13143,8096,8393,6631,10273,6392,3823,3648,2539,5162,5128,
预付款项(万元),25307,28581,16917,17804,17142,19120,17623,20511,19070,18244,15311,16586,18332,17709,7020,19755,16647,16985,9867,32814,30547,23580,19581,15792,11815,32432,31929,35912,8712,6319,6769,12428,10608,8446,5245,8946,9540,9386,13528,8905,3065,8548,3604,6178,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,1600,--,--,--,--,760,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1000,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,
