报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),6842,10191,5484,4966,4673,3760,6529,6954,62596,9896,9224,6989,6611,10377,5956,7283,4072,4879,6987,14071,12717,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1118,2630,2788,2860,3109,2300,3009,2399,1547,3742,1990,3617,3023,3214,3650,4918,1410,4380,10621,3159,1557,
应收账款(万元),45426,40607,38730,35601,33369,32472,31274,29578,31268,28392,28885,20177,19072,20559,22375,20416,22112,19307,16676,12957,9753,
预付款项(万元),4606,3166,5998,4561,2872,1714,2212,1518,3353,1806,2486,784,1041,1141,1409,936,1968,1871,1991,1119,866,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2126,2105,1111,781,1173,1067,1040,784,973,999,952,788,858,1085,1012,701,1043,905,824,549,853,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),43442,45413,44395,40375,39145,36602,37783,34941,33258,34681,36239,23100,28181,26977,27317,21837,22306,23595,21526,19535,21649,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),20169,23699,22590,27003,28595,27276,22284,26628,2581,3385,3310,6000,8000,6232,8549,8000,--,--,53,678,312,
流动资产合计(万元),123729,127811,121096,116149,112936,105190,104132,102803,135575,82901,83086,61456,66787,69585,70268,64091,52911,54937,58678,52069,47707,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),4976,4974,3774,3774,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,56566,--,55873,--,48718,--,43284,--,43155,--,34662,--,34683,--,34622,--,34513,33059,--,--,
累计折旧(万元),--,18838,--,18565,--,17736,--,16879,--,16031,--,12782,--,12280,--,11681,--,11092,10533,--,--,
固定资产净值(万元),--,37728,--,37308,--,30982,--,26405,--,27124,--,21880,--,22402,--,22941,--,23421,22525,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),37094,37728,36890,37308,30640,30982,31210,26405,26765,27124,27454,21880,22112,22402,22673,22941,23112,23421,22525,22572,20428,
在建工程(万元),1629,719,545,463,6761,5570,5502,5754,4879,4084,2267,668,159,60,--,--,--,--,816,563,2645,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
