报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),15354,16711,19326,30718,9165,48437,92567,80653,56373,40943,45466,61912,42547,54799,55053,59343,50055,70559,13708,22684,20402,23276,25880,28985,24144,41838,44300,45922,44548,46198,55063,57156,4938,5823,7699,5517,2754,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收票据(万元),944,6415,9696,12507,3872,3983,356,824,1239,754,367,1258,260,1516,1197,2946,234,781,519,1896,903,1127,150,1192,265,980,1341,2146,225,--,5,508,0,0,106,--,--,
应收账款(万元),205634,166393,161789,155614,133424,126200,117972,112659,93591,71027,71203,65905,44448,38543,36532,27889,41860,28334,26283,15016,21756,17555,15984,10668,14966,12289,11610,7836,11489,9628,8481,5442,10382,6196,3682,3511,2182,
预付款项(万元),3165,3898,3967,3225,3429,5651,3976,3185,4396,5423,6324,3968,3760,3914,4194,5142,6784,5654,7275,6140,10100,9221,7488,8557,7516,8900,6482,6907,6300,4602,2286,1787,2502,1269,1339,1238,1764,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收利息(万元),--,--,--,--,13,18,23,23,244,551,434,388,223,122,447,297,331,174,104,198,290,430,417,327,124,916,883,594,--,--,--,--,0,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
其他应收款(万元),20021,19121,16128,15419,15768,15853,13348,11053,7607,8813,10307,7313,2618,2302,2400,3593,2979,2079,2719,767,481,216,225,85,117,185,172,164,772,791,786,786,791,793,743,2,528,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
存货(万元),448155,465412,374048,370622,375338,314321,234179,214123,182266,174727,123799,122227,9491,7997,6610,7163,6159,5720,5263,5339,4836,4066,3798,4789,5755,4588,4416,4342,4641,3903,3436,3755,2524,3123,2302,1600,3618,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,55,139,1,5,28,52,74,94,94,94,80,80,--,--,--,--,--,--,--,--,0,0,0,--,--,
其他流动资产(万元),393,515,6217,9468,15937,20452,21185,57033,503,74,3591,2111,1000,5241,8000,8036,5057,79,130,144,4,--,--,--,17,--,--,--,--,--,--,--,0,0,0,--,--,
流动资产合计(万元),693666,678465,591170,597574,556947,534914,483606,479553,346219,302313,261492,265083,104402,114574,114434,114413,113486,113432,56074,52277,58866,55984,54022,54683,52904,69697,69204,67911,67976,65123,70058,69435,21138,17203,15871,11868,10846,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
可供出售金融资产(万元),3196,3196,3196,3196,196,196,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
长期应收款(万元),708,708,1027,1027,1027,1027,1593,1593,1593,1593,1631,1631,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
长期股权投资(万元),19677,19514,19065,18983,19869,19778,19404,17368,16836,16721,16854,16518,16045,15779,15394,15003,14415,5332,5027,4859,4648,4544,4492,4394,4310,--,--,--,--,--,--,--,0,0,0,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
投资性房地产(万元),3843,3831,3680,3661,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
固定资产原值(万元),--,112534,--,111161,--,90538,--,87973,--,68035,--,66551,--,33874,--,33181,--,31495,--,27403,--,13021,--,10481,--,9554,--,8942,--,6564,--,5509,0,5490,5409,--,--,
累计折旧(万元),--,28150,--,24397,--,18572,--,15756,--,13464,--,11199,--,5769,--,4861,--,3996,--,3274,--,2720,--,2328,--,2256,--,1963,--,1726,--,1524,0,1369,1216,--,--,
固定资产净值(万元),--,84384,--,86764,--,71966,--,72216,--,54571,--,55352,--,28105,--,28321,--,27499,--,24129,--,10301,--,8154,--,7298,--,6979,--,4838,--,3985,0,4122,4193,--,--,
固定资产减值准备(万元),--,--,--,--,--,444,--,444,--,444,--,444,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
固定资产(万元),83230,84384,85950,86764,78434,71523,70939,71773,55376,54127,54825,54908,28011,28105,28356,28321,27466,27499,24279,24129,18062,10301,8295,8154,26368,7298,7246,6979,5189,4838,4754,3985,4055,4122,4193,4153,4171,
在建工程(万元),9136,8832,7716,6426,15336,14375,13955,12622,25028,23798,19490,17693,19259,16422,14698,12753,10572,9408,7222,7200,9368,16837,18463,16459,2661,791,490,404,1414,1356,1352,1348,941,741,9,9,--,
工程物资(万元),--,--,482,--,--,--,--,--,20,20,20,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
固定资产清理(万元),--,--,0,--,--,--,--,--,6,6,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
无形资产(万元),18251,18540,18641,18931,19666,18058,18268,18475,17814,18220,18947,19697,10153,10213,10133,10207,9510,9563,9618,9674,6505,6498,6531,6567,639,644,649,653,658,663,667,672,677,681,686,704,716,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
商誉(万元),132250,132250,132250,132250,132250,129728,129728,129728,129728,129728,129728,129728,--,--,--,--,415,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
长期待摊费用(万元),418,461,511,600,701,778,879,926,871,923,920,293,134,45,--,--,--,--,1,5,28,52,60,80,180,--,--,--,--,--,--,--,0,0,0,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
递延所得税资产(万元),5641,5193,4802,4635,4589,4646,3949,3622,3039,2586,2143,2147,1380,1191,1012,946,1131,823,711,546,605,477,387,327,333,280,238,205,259,225,152,152,113,134,96,83,38,
其他非流动资产(万元),3624,3622,2284,2704,3657,2899,4126,3167,4275,4516,3068,3073,1056,406,370,335,951,940,1503,1019,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
非流动资产合计(万元),279974,280530,279604,279178,275726,263007,262942,259275,254587,252239,247632,245709,76037,72160,69963,67565,64460,53565,48361,47432,39217,38709,38228,35980,34490,9013,8622,8242,7519,7082,6926,6157,5786,5678,4984,4949,4925,
资产总计(万元),973640,958995,870774,876752,832673,797921,746548,738828,600806,554553,509124,510791,180439,186734,184396,181978,177947,166997,104435,99709,98083,94693,92250,90664,87394,78709,77826,76153,75495,72205,76984,75592,26924,22882,20855,16816,15771,
