报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),58062,24096,57391,45160,42107,49154,48923,43231,40777,41997,43730,40704,39333,39992,39157,38537,37402,37434,35846,33602,35552,34284,33088,39941,4133,5480,1706,790,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),2530,3651,2154,2953,3135,3733,2597,3586,3683,4254,3943,4933,4312,3484,2132,3428,2724,2941,1926,3003,1973,2251,1904,1226,1577,724,1113,55,
预付款项(万元),649,926,765,9173,9101,1612,883,1316,1242,1238,986,1967,2346,1250,1690,2907,2385,2121,1304,2948,180,1117,205,1183,260,985,232,657,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),2,2,242,--,104,124,46,41,182,109,40,36,12,147,79,208,101,26,26,--,23,29,29,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),340,33723,223,77,68,98,129,94,99,142,130,229,217,514,220,107,89,68,58,107,57,74,109,224,100,59,16,118,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),2308,2210,2031,2417,2124,1968,1969,2352,2242,2362,2859,2492,2681,3814,4240,3049,2722,2342,1554,1690,1131,1217,1470,1533,1439,1127,747,336,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),554,326,311,591,607,331,619,257,229,119,137,126,193,194,124,47,187,50,254,113,75,--,107,--,--,--,--,--,
流动资产合计(万元),64445,64934,63118,60371,57247,57021,55165,50876,48454,50221,51825,50487,49095,49395,47643,48282,45609,44982,40967,41462,38991,38974,36913,44106,7509,8375,3814,1955,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),62708,--,62253,--,59354,--,59355,--,57871,--,56743,--,48457,--,46332,--,41345,--,38447,--,35472,--,31096,--,29465,29328,--,--,
累计折旧(万元),23429,--,21564,--,20252,--,18460,--,16786,--,14963,--,13476,--,11727,--,10124,--,8820,--,7546,--,6372,--,5223,4203,--,--,
固定资产净值(万元),39279,--,40689,--,39102,--,40895,--,41085,--,41780,--,34981,--,34605,--,31222,--,29626,--,27926,--,24724,--,24242,25125,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),39279,39705,40689,38918,39102,40014,40895,40184,41085,40865,41780,36063,34981,34435,34605,31199,31222,29576,29626,27771,27926,24301,24724,24132,24242,25125,23569,16680,
