报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),108521,124128,126736,123214,132030,140692,105371,110506,150303,171136,156836,157039,133580,146709,143619,146389,154878,160072,145550,142328,147549,157495,153231,153636,155655,157707,156469,161212,165330,174049,166350,168848,14067,18497,19213,15387,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),5749,5828,3652,4362,3629,6092,1789,1779,3250,4765,1404,2467,4652,4176,2081,2824,3238,3683,2888,1786,1375,1435,962,1418,1473,1124,200,438,281,832,910,643,313,197,48,148,
应收账款(万元),76748,68456,74237,68112,57158,51387,65559,59140,50838,45600,38777,37027,37474,27235,38392,34942,33136,30685,37332,39322,41762,38389,37244,28865,26659,25674,24807,21087,18000,14820,17253,17043,13208,12261,8128,7756,
预付款项(万元),1088,927,1226,956,2985,898,2645,1467,3237,488,1494,355,10938,7488,3608,3873,2740,2579,9154,9040,7167,7130,6505,6185,4128,4372,1438,728,1031,1002,1261,130,59,93,797,192,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),228,249,641,545,125,176,159,533,1984,1360,636,693,10,13,265,228,188,126,1212,912,2151,861,730,41,3205,2611,1690,1203,774,779,--,0,0,0,0,0,
应收股利(万元),--,126,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),8561,7285,9556,7599,8474,7935,10865,10058,9117,7770,6465,6276,7263,7480,8420,7621,5326,3833,3489,4526,3531,2677,1645,1584,2642,2438,4442,4021,3926,3247,1768,1135,1403,757,843,1489,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),52047,40683,42272,44568,47882,42031,52394,56157,53020,39036,35619,30321,31794,23848,21062,18054,16966,13193,13780,9932,9632,8554,7144,7511,7601,6997,6600,7247,6812,6180,5480,4371,3916,3657,2464,2028,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),25982,25805,9775,9385,10247,9621,11508,11067,8994,11356,10761,11197,10435,6832,3680,4680,4680,5680,--,--,--,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),278923,273487,268095,258741,262529,258832,250290,250708,280742,281511,251993,245375,236146,223781,221128,218611,221152,219852,213404,207845,213166,216541,207461,199240,201362,200923,195645,195937,196154,200909,193021,192170,32967,35462,31494,26999,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),21299,19970,19597,16664,16213,16213,16447,13201,10854,9105,8172,7999,7967,6759,4337,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,2146,2146,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),3926,3836,3748,3551,3389,3389,3783,--,--,--,112,169,225,4523,11805,8096,7237,7329,14767,14667,14783,14620,13421,12548,11398,11211,10198,10198,10198,10247,6925,925,300,300,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),14645,17498,16561,16564,16727,15947,15934,16017,16038,16148,13396,13477,1991,2998,2807,2842,2864,1858,--,--,--,--,913,920,926,933,939,946,953,959,966,973,979,986,0,0,
固定资产原值(万元),--,57325,--,58831,--,60053,--,46498,--,43872,--,44976,--,38973,--,31635,--,23531,--,19513,--,15040,--,13363,--,13139,--,11831,--,11345,--,11186,11019,10950,2788,0,
累计折旧(万元),--,12315,--,11459,--,10360,--,10378,--,9504,--,9226,--,7690,--,6676,--,3247,--,2912,--,2517,--,2070,--,1766,--,1445,--,1172,--,1020,901,792,548,0,
固定资产净值(万元),--,45010,--,47372,--,49693,--,36121,--,34368,--,35750,--,31283,--,24959,--,20284,--,16601,--,12523,--,11293,--,11373,--,10387,--,10173,--,10166,10118,10158,2240,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产(万元),46751,45010,46465,47370,47944,49693,35726,36121,33839,34368,38373,35750,32979,31283,24810,24959,19097,20284,16525,16601,14284,12523,11580,11293,11311,11373,11457,10387,10227,10173,10220,10166,10118,10158,2240,2073,
