报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),131383,185774,264411,192683,225486,214503,254036,231731,233821,242181,264474,248288,73683,68503,106701,112143,122410,159510,175469,168707,208355,38733,52910,48899,47970,50586,65908,60483,61765,22306,30612,23628,29744,32170,36629,38941,32152,32664,35500,33680,32982,2078,9323,7324,4451,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,--,0,--,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,--,0,--,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,0,0,--,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,--,0,--,0,--,
应收票据(万元),14615,13218,9342,3480,1169,2377,2956,1142,2170,1914,1780,1815,1737,1536,1347,1310,834,839,5506,673,893,188,490,160,121,178,276,13,36,38,0,15,39,33,13,--,40,566,633,25,0,0,130,36,304,
应收账款(万元),331939,275855,255245,287028,248868,212032,179782,193271,193604,165673,142956,161577,148703,126169,119223,113348,88280,74252,67496,71284,56001,47833,40662,44426,38880,34434,27890,21993,20481,17968,17832,13752,12290,10044,12958,12637,10601,10641,9974,8974,10219,10760,9168,8478,6474,
预付款项(万元),6765,5026,4118,3967,4964,6872,5431,4906,3010,2248,1689,3115,2506,4826,1083,1214,724,658,516,1429,1075,915,578,1570,1901,2853,808,1313,1060,907,1108,2113,1533,2331,1978,2320,2234,3090,2974,1389,482,1170,109,36,77,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,--,0,--,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,--,0,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,--,0,--,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,--,0,--,0,--,
应收股利(万元),46,46,46,46,46,46,46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,--,--,--,0,--,0,--,
