报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),871,1810,3929,2212,1441,5211,4773,5210,4206,3925,7500,7346,6914,6484,1726,4801,6616,2656,2440,8427,1763,10761,2119,7818,4306,6467,6631,10960,12627,12756,14578,14908,20432,22574,25968,25644,29669,33538,3754,1938,2801,745,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收票据(万元),284,2822,245,475,882,3634,1097,1436,1987,4039,4138,3684,2972,5102,5825,4463,3749,3415,4332,3799,6848,7416,6426,5420,2102,3335,5627,5038,5502,5171,3896,2197,4476,4528,2539,2394,1841,1703,3370,3972,2093,229,
应收账款(万元),15028,14537,17931,19386,17693,16450,21416,18759,15324,17415,17804,17234,18381,18290,21776,24148,21157,22675,24588,26024,23108,22330,20591,20656,20476,16837,17261,14635,15846,15776,19853,19102,14673,13893,13268,12590,10732,10936,7720,6996,6281,4574,
预付款项(万元),193,73,407,203,308,183,432,652,1158,842,1096,1697,3081,721,871,885,1323,322,2177,2436,1970,4881,2135,3534,5367,3911,5606,6536,7549,8243,6112,6376,6777,5142,2871,3497,1238,893,1497,389,726,95,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,47,34,--,--,--,157,--,0,--,0,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
其他应收款(万元),--,--,247,277,376,331,316,216,804,651,266,193,281,301,318,372,350,365,305,289,468,460,439,580,670,419,584,483,1996,2167,363,351,341,555,54,205,161,257,159,144,172,2038,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
存货(万元),4783,4858,5941,5549,7320,7102,7588,7177,8306,7461,7212,7053,8022,7232,9273,9410,11715,10147,12455,11017,11143,9136,11802,10875,11587,10241,11179,11439,12271,11466,10751,12211,13523,11987,10735,7714,6941,6667,5550,3838,3468,2965,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
其他流动资产(万元),--,167,100,53,253,540,87,164,271,328,378,428,446,573,598,705,907,890,832,759,--,702,--,--,--,--,--,0,--,--,69,100,121,--,--,0,--,0,--,0,0,0,
流动资产合计(万元),21388,24417,28799,28154,28272,33451,35709,33614,32056,34662,38394,37636,40097,38703,40387,44783,45817,40469,47129,52752,45300,55686,43512,48884,44507,41210,46887,49096,55839,55613,55622,55245,60342,58837,55435,52045,50582,53994,22048,17277,15541,10647,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
投资性房地产(万元),1687,1714,945,961,905,378,344,303,312,321,309,323,337,358,366,377,386,395,404,413,422,431,440,649,661,673,685,698,710,722,735,747,517,524,532,539,547,554,964,990,1042,1080,
固定资产原值(万元),--,59616,--,60870,--,61799,--,62367,--,62345,--,59681,--,59576,--,58834,--,49676,--,35457,--,28097,--,24927,--,23567,--,12240,--,11666,--,--,--,10227,--,8319,--,8021,6625,5987,0,0,
累计折旧(万元),--,18753,--,17869,--,16651,--,15503,--,13967,--,12789,--,11109,--,9468,--,8156,--,6935,--,6014,--,5318,--,4616,--,4824,--,4474,--,--,--,3713,--,3182,--,2843,2431,2178,0,0,
固定资产净值(万元),--,40864,--,43001,--,45148,--,46864,--,48378,--,46892,--,48467,--,49366,--,41520,--,28521,--,22084,--,19609,--,18952,--,7416,--,7192,--,--,--,6514,--,5137,--,5178,4194,3810,0,0,
固定资产减值准备(万元),--,80,--,30,--,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
固定资产(万元),--,40784,42359,42971,43836,45118,45983,46864,47386,48378,47473,46892,47585,48467,48639,49366,40933,41520,41089,28521,21699,22084,19667,19609,19573,18952,18843,7416,7038,7192,7422,7424,7019,6514,6419,5137,5511,5178,4194,3810,3366,3383,
在建工程(万元),--,--,1,5,5,5,1,1,74,113,529,1728,1080,890,708,548,9029,9135,8568,19292,23777,21996,21081,17817,13420,12949,8025,16623,12526,10512,8900,6518,3658,3046,1937,95,79,139,674,374,556,20,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,2,--,--,-2,0,--,0,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
无形资产(万元),2062,2081,2100,2120,2140,2159,2169,2187,2206,2228,2685,2701,2722,2743,2766,2787,2806,2804,2842,2857,2770,2707,2722,1938,1950,1871,1845,1869,1875,1878,301,304,306,310,2071,316,319,322,298,303,311,324,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
商誉(万元),24586,24586,24586,24586,24586,24586,24586,24586,24586,24586,24586,24586,24363,24586,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
长期待摊费用(万元),--,0,--,2,11,20,29,39,48,57,66,75,84,93,36,39,7,46,47,51,55,60,64,68,72,77,125,129,156,94,98,102,--,98,102,104,--,111,117,124,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
递延所得税资产(万元),2254,2105,4184,3991,3476,3471,2558,2493,2191,2199,1748,1672,1210,1321,1365,1192,1072,1072,781,855,749,705,398,534,553,580,464,572,671,671,367,367,94,367,398,398,107,385,264,253,167,73,
其他非流动资产(万元),--,102,--,--,--,82,--,--,--,24,--,--,2500,2557,9000,9000,0,18,--,--,--,305,--,--,--,--,--,0,--,--,--,--,437,--,--,0,378,0,--,0,0,0,
非流动资产合计(万元),70753,71371,74175,74635,74959,75819,75670,76472,76804,77906,77396,77977,79881,81015,62880,63309,54233,54990,53730,51990,49474,48287,44371,40616,36228,35102,29988,27307,22976,21068,17823,15465,12030,10859,11456,6589,6942,6689,6510,5853,5442,4879,
资产总计(万元),92141,95789,102974,102789,103231,109270,111378,110086,108860,112568,115790,115613,119979,119718,103266,108092,100050,95459,100860,104742,94774,103973,87883,89500,80735,76311,76875,76403,78815,76681,73445,70710,72373,69696,66890,58634,57523,60683,28559,23130,20983,15525,
短期借款(万元),22700,23700,23700,23700,18700,23200,24200,24900,24000,24200,25500,23900,24650,24735,23435,22650,15550,11900,12345,17800,10396,14243,8254,10275,4467,4633,4170,7623,11295,10350,10796,7011,8234,3800,4500,0,219,2200,3851,3140,2534,1000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应付票据(万元),--,--,--,--,--,--,--,841,2264,2192,2486,3531,3254,3875,3546,3552,4502,4554,6650,7058,6137,8899,5241,8938,8256,6318,9295,6838,2628,1115,115,1116,1999,1821,375,946,946,666,245,0,150,733,
应付账款(万元),--,--,--,9607,11281,9759,11120,8380,7771,8532,6862,5617,6063,5814,8149,8516,6858,5436,7566,7791,6654,8946,6810,5041,5184,4230,5238,4274,7877,7256,5744,6876,6236,8038,6932,6309,4597,5718,6625,3789,4968,2625,
预收账款(万元),241,166,882,761,630,422,535,463,543,651,636,489,385,393,722,1100,1076,654,2201,846,693,898,737,818,776,883,662,581,663,1094,837,699,547,695,706,444,106,545,649,355,275,33,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,331,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,1178,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应付职工薪酬(万元),324,996,329,323,582,1659,865,871,860,1085,666,662,63,889,290,307,256,664,342,337,358,614,358,349,300,286,274,242,250,256,247,241,244,252,135,124,155,178,146,207,365,410,
应交税费(万元),431,775,604,468,324,868,780,758,313,804,728,664,--,635,510,767,368,620,209,508,2,795,-525,177,863,309,243,101,294,572,433,-112,314,500,358,240,749,918,604,626,539,212,
应付利息(万元),2650,2338,--,1391,1186,1053,858,668,478,351,205,59,--,51,56,67,55,50,40,36,36,27,24,20,12,12,6,9,6,6,3,3,3,3,--,0,--,2,--,0,0,0,
应付股利(万元),--,--,--,324,--,--,--,--,--,--,--,918,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,81,81,81,81,454,81,81,81,81,81,81,81,81,823,356,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
其他应付款(万元),--,--,16503,14838,18971,19501,19160,19115,19048,20101,22996,14453,16801,17130,517,490,585,702,864,840,937,2778,1617,773,718,677,666,728,592,902,524,400,295,592,428,255,429,781,702,1172,884,1354,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,2883,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
一年内到期的非流动负债(万元),--,721,1442,2162,2883,2883,2883,2883,2883,2883,2883,2883,--,2883,2883,2883,2162,2162,1442,678,--,1470,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
流动负债合计(万元),49071,52462,53933,53574,54557,59344,60401,58879,58158,60799,62962,53176,55609,56406,40107,40333,31412,26742,31659,35893,25213,38669,22515,26391,20576,17348,20554,20476,23687,21632,18780,16686,17953,15782,13515,8397,7280,11089,12903,9370,10539,6722,
长期借款(万元),--,0,--,--,--,721,1442,2162,2883,3604,4325,5046,5767,6487,7208,7929,9371,9371,10091,10163,10310,6440,7130,5660,3590,2000,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,402,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,250,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
长期递延收益(万元),38,50,75,75,100,100,100,125,150,150,175,175,--,200,313,313,--,250,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,50,0,
非流动负债合计(万元),38,50,75,75,100,821,1542,2287,3033,3754,4500,5221,5767,6687,7521,8242,9621,9621,10091,10163,10310,6440,7130,5660,3590,2000,0,0,0,0,0,0,0,0,0,0,--,0,--,0,50,402,
负债合计(万元),49109,52512,54008,53649,54657,60165,61943,61167,61192,64553,67462,58397,61376,63093,47628,48574,41033,36363,41750,46055,35523,45109,29645,32051,24166,19348,20554,20476,23687,21632,18780,16686,17953,15782,13515,8397,7280,11089,12903,9370,10589,7124,
实收资本(或股本)(万元),20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,7500,7500,7500,1000,
资本公积(万元),10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,18606,18647,18606,18647,19110,19110,19110,19110,19110,19110,19110,19110,19110,19110,29110,29110,29110,29110,29110,29110,29110,29110,29110,31560,29110,29110,29110,201,163,81,625,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
专项储备(万元),868,769,2831,2895,2791,2898,3100,3051,2932,2873,2783,2613,2186,2336,2204,2060,2097,1898,1818,1716,1530,1405,1370,1265,1112,1042,904,862,780,886,758,557,536,408,384,525,656,696,443,403,240,0,
盈余公积(万元),2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2033,2033,1843,2033,1843,1843,1843,1843,1701,1701,1701,1701,1546,1546,1546,1546,1381,1381,1381,1381,1126,1126,1126,1126,825,825,825,825,497,497,216,989,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
未分配利润(万元),9630,9974,13602,13711,13249,13673,13802,13335,12203,12608,13136,13205,14445,12746,12943,12899,12519,12877,13191,12980,13222,13073,12760,12224,11560,12139,11803,11677,11031,10807,10793,10307,10647,10235,9998,9160,9033,8350,6536,4824,2094,5482,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
