报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),468671,422891,263058,375511,332084,323642,231144,235197,466777,209711,136250,179085,183154,109800,39067,60001,31840,25108,832,4147,1622,2058,3869,6484,7048,10155,12692,20557,19419,24728,3276,4301,4783,7257,1400,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,
交易性金融资产(万元),12538,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,0,--,--,0,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收票据(万元),850,--,2634,2914,2104,6707,--,--,--,--,--,200,45,160,200,20,1398,2340,2096,1769,3568,4796,4548,2989,2069,4342,2428,1819,1600,2231,1276,3559,3198,2542,941,
应收账款(万元),252535,196439,165128,161886,130632,159445,165903,146984,173209,193197,135672,115473,66152,67764,64150,58727,60097,69439,19581,19478,18817,15989,15551,15786,16281,14989,14605,13680,12519,13734,13973,10867,8576,5671,5241,
预付款项(万元),81560,78974,105931,90875,86070,85165,111929,80619,57618,48328,43190,30627,48377,9304,7439,6291,8005,4851,5,135,213,183,291,251,1210,1014,3383,2139,1959,1347,366,2119,272,246,453,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,
