报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),349547,349556,407768,408981,411017,454839,425465,416617,430024,418615,610608,440387,475198,412602,464066,511886,619466,605028,615538,593569,636050,658848,677526,668271,722284,677384,689408,629500,658255,625864,591457,566335,39453,44538,16113,3200,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
交易性金融资产(万元),--,--,--,--,45,1340,--,--,--,--,--,15,--,39,146,69,--,63,90,1,--,53,--,0,5,104,180,19,1,-1,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收票据(万元),13471,13110,383,7742,7940,7911,662,1066,1190,567,1053,3758,816,609,--,--,--,--,--,38,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
应收账款(万元),79864,76024,59578,46305,46186,48143,37626,41631,47715,46104,34900,45159,50820,38346,35704,46378,21900,19603,19604,33714,37895,35380,25868,24307,16640,30541,25893,64202,28197,29102,20688,21512,14338,19773,10605,8238,
预付款项(万元),27267,25518,31531,33806,19495,11479,10189,9185,12882,9783,6548,5151,4583,5552,4728,5065,7412,4485,8079,8945,10481,6478,15305,11522,10472,5220,11528,9372,8346,2475,5079,3509,5583,2958,167,267,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收利息(万元),21429,20285,18561,16832,15230,13802,12059,8918,7195,5246,2763,14533,9913,6061,2325,19274,14908,12621,9527,13684,10921,9410,5608,11131,5887,6771,2555,3983,2303,1935,--,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),9485,9647,4064,2657,4769,2082,2545,3138,3983,3960,1736,1009,1494,783,1197,1370,812,3166,2044,3674,7442,9719,3251,5315,5767,6018,630,2825,9225,20466,14405,19369,383,307,187,807,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
