报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),23688,33183,38230,49366,49203,57391,100277,45669,26863,25647,30276,26280,13070,67210,107167,120193,--,4915,3054,13289,17086,8853,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),635,778,1017,346,481,337,202,349,159,310,282,392,564,129,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),85007,61849,47634,42834,45565,48591,40931,65444,53167,58276,32164,59096,61905,52603,47630,41215,--,42608,40940,43570,19645,4498,
应收账款(万元),82472,100395,100512,113828,92789,78480,80049,89688,91682,98481,87916,77918,81644,76245,68371,62898,--,70485,59985,59225,51409,38022,
预付款项(万元),2634,2580,2128,1556,2650,1790,2269,2439,3427,2567,2460,1987,1887,993,1396,1621,--,1802,1225,1075,2903,7122,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),4070,3354,3147,3837,6748,6642,6559,1333,4340,2996,3351,3273,3034,2587,2565,2448,--,2389,2306,2815,1057,722,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),74242,74548,70216,64035,60173,46225,41688,40662,35653,31350,30765,27918,28064,24472,23754,21834,--,18304,20026,19340,24745,23401,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),236378,208577,229512,211805,195668,223769,209966,210271,206565,183869,225478,196068,183182,114390,87130,68305,--,16086,12156,--,--,--,
流动资产合计(万元),509126,485263,492397,487607,453277,463225,481942,455854,421857,403496,412692,392933,373351,338629,338014,318514,170557,156589,139693,139314,116845,82619,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,351,--,697,1196,2172,3921,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),10207,10184,10360,10144,10000,10000,10000,--,--,--,--,--,--,--,--,--,--,230,230,230,50,50,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,277246,--,254305,--,217340,--,192354,--,169282,--,156134,--,146510,--,142896,--,137749,134687,133283,114308,103522,
累计折旧(万元),--,117183,--,106663,--,98071,--,90399,--,84228,--,78390,--,73028,--,67821,--,62630,60105,58147,49574,45595,
固定资产净值(万元),--,160063,--,147642,--,119269,--,101954,--,85055,--,77744,--,73482,--,75075,--,75119,74582,75136,64733,57927,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),168056,160063,150598,147642,118670,119269,108481,101954,91442,85055,79013,77744,74240,73482,73713,75075,--,75119,74582,75136,64733,57927,
在建工程(万元),45450,45002,38382,25818,19832,6250,4832,891,3562,1980,2678,2229,1570,303,580,761,--,1104,1032,924,7385,2243,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,315,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),26780,26953,27181,27329,26832,22901,22954,23140,21747,21829,21927,22025,22118,22216,22314,22406,--,22590,22687,22785,4234,4032,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),26014,24846,25127,25336,21151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),894,798,952,656,517,163,125,133,130,57,60,64,--,--,--,--,--,4,6,8,10,9,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),4955,4434,3899,3820,3573,3437,2991,3239,2955,3078,3056,3039,3185,3185,3057,3023,--,3493,1629,592,1045,593,
其他非流动资产(万元),8417,8249,11951,15035,15309,5931,7060,3080,7634,8488,4684,1369,1241,1640,1007,1294,--,2421,2839,2743,5386,115,
非流动资产合计(万元),290823,280579,268500,255830,215935,168002,156493,132487,127519,120538,111469,106521,102405,100876,100722,102911,105058,105658,104201,104590,86764,65285,
资产总计(万元),799949,765842,760897,743437,669213,631227,638435,588341,549376,524034,524162,499453,475756,439505,438735,421424,275615,262247,243894,243903,203609,147904,
短期借款(万元),--,--,--,--,1400,1400,1400,1400,--,--,--,--,--,--,--,--,--,--,--,--,10000,11000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,2758,2644,2701,2763,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,35439,33607,36936,27377,22694,18119,20408,14811,21654,20916,16796,17930,20752,20962,19740,--,24072,24373,21173,13906,18132,
预收账款(万元),1723,3830,1104,798,809,516,463,568,974,480,886,878,1225,1026,869,957,--,548,918,638,589,1154,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),9694,7640,6791,9032,6887,5665,4902,8455,6845,6573,6170,8777,5790,5799,4882,7088,--,4423,3168,4269,4436,1490,
应交税费(万元),15070,10986,9297,8854,8317,6073,6790,5851,8323,4331,3212,2452,3879,2942,3266,2046,--,7557,5050,2770,2476,2287,
应付利息(万元),--,48,47,47,48,46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,346,--,--,7,159,--,--,8,218,--,--,--,--,--,--,--,--,1186,527,329,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),17674,21343,21930,21858,6503,8399,8045,8126,8321,12029,12198,12518,805,905,1351,1622,--,1684,2750,3109,863,532,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
