报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),4447730,4033958,4642409,3857020,4359362,3538844,4043350,3774087,4486339,2899258,3451744,3281088,3373071,2832033,2818659,2925081,3340948,2732526,2803879,2416384,3358558,2727693,2440191,2615050,3420787,3325379,3650551,3544374,4528051,3909948,3900769,4581656,4145301,4321466,4837803,4834419,4592276,6349626,3023266,2836543,2435747,1904890,
结算备付金(万元),--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
拆出资金(万元),--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
交易性金融资产(万元),112415,150378,185767,122,15145,108,91,110,104,743,85,80855,141001,61,41319,74,56,3969,3632,144445,4156,60605,37,30054,30221,20041,51,140128,35198,2800,--,450,--,18750,11000,44798,30052,415,246,233,2374,38172,
衍生金融资产(万元),237,0,--,0,--,0,--,0,--,0,--,0,--,0,2759,1296,1853,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收票据(万元),--,2112961,--,1981604,2075725,1730737,1575438,1655266,1602696,1164087,1228684,1114532,1136067,661578,785946,936672,997757,789078,989766,900158,1114110,976578,1022620,904070,1131186,901297,880006,922937,1123049,991831,1082392,993563,1027354,462185,859420,785046,755454,631131,518695,520453,621903,336959,
应收账款(万元),--,7278085,--,7229804,7349576,6917658,6940741,7058419,6954464,6897122,6582964,6349405,6366311,6171735,5901935,5609095,5579928,5897692,5606067,5335227,5259763,5297473,4943719,4625057,4694364,5471120,5193798,4743573,4353578,4416876,4270374,3971138,3733342,3609624,3469798,3183971,3040433,2767843,2727559,2488771,2028879,1441168,
预付款项(万元),2028577,1977377,1962967,2520648,1923001,3362465,2526790,1920296,1342106,1401148,1394600,1493103,1369847,1485681,1402204,1995832,1651072,1980911,1587929,1765607,1503701,2028249,1950847,1676639,1668988,2179196,2115519,2270782,1987528,2601890,2498037,2774406,2260669,2491134,2202496,2170328,1953140,2085660,1827839,2125901,1646331,747921,
应收保费(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
应收分保账款(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
