报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
货币资金(万元),694564,799721,282060,406002,339121,302637,330851,313858,408670,508500,1063824,915205,838092,854960,821008,784528,714653,792754,700066,768537,766778,704700,578380,539191,463021,404229,252282,204719,165320,217367,223186,234034,295696,298093,332175,350962,356432,279315,306614,146783,328532,316076,4566,3914,4859,12784,8665,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,0,
交易性金融资产(万元),--,0,--,--,177,85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,0,
应收票据(万元),431556,366140,346551,302917,252701,233808,219868,218022,158070,127636,89000,111775,187695,221733,273159,293644,254349,251343,242095,123755,154403,199528,259482,161816,197808,170098,175426,164432,143469,116348,111880,51729,59661,31647,29471,16339,12317,35928,16383,18479,17987,74511,4247,2782,1705,1963,1038,
应收账款(万元),247362,149896,190824,177811,208851,271633,190908,195033,185694,154044,149720,150089,199388,169109,193209,137508,150225,152100,111072,110334,83065,80708,92289,101828,122164,101633,93427,80213,86730,76494,78604,85292,70609,56159,61627,49444,47376,81250,76549,91628,68919,41593,20018,21480,18798,41038,14790,
预付款项(万元),75043,53568,71423,106184,46894,31297,33989,31000,43980,19294,37168,32274,51582,18401,78969,79047,82363,32407,65325,44625,64685,23637,61376,57906,57321,60640,93739,85163,127578,98224,92861,129266,106265,95883,106333,85319,98609,88329,102455,89994,123175,114557,6997,6944,6518,6104,2258,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,0,
