报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),70863,80573,168907,66929,71006,105171,62987,78827,83459,113309,157195,41111,74639,65385,74027,91389,117726,89062,113666,128912,100932,127511,64488,62831,48238,48615,55579,64055,59598,59773,77114,88487,73098,64569,67354,77905,86892,5764,4403,4661,3296,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
交易性金融资产(万元),--,--,--,0,--,--,531,533,--,880,457,1013,--,16,16,21,17,3454,1663,9,22690,3010,8593,10505,--,0,--,--,300,4009,--,--,--,0,--,0,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
应收票据(万元),44,57,37,39,52,872,6,337,--,--,5,81,21,--,--,--,--,20,76,--,--,75,95,80,180,208,487,50,--,--,--,--,--,0,--,0,--,0,0,0,0,
应收账款(万元),73150,74048,72096,74619,65804,63574,61998,64452,88449,92713,82357,73336,75177,61708,47658,34349,40568,35209,27185,32424,22668,16571,19201,19719,25741,21896,23414,14732,12396,12171,12304,11203,13778,16259,15469,14603,13595,11480,7650,8924,4125,
预付款项(万元),36598,39516,34817,33790,49558,43855,43269,39929,45541,37368,33244,32356,43926,38849,31898,26497,20907,18355,17464,9936,14041,14846,13287,13914,10356,9827,8017,6185,8877,7948,8914,6280,7552,5787,4634,3629,2883,2025,4103,2283,1016,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
应收利息(万元),--,1,0,0,--,--,0,9,7,26,28,16,81,44,94,175,1584,1201,829,721,375,250,113,212,94,70,108,123,223,306,277,236,--,71,--,0,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
其他应收款(万元),30224,27315,17067,15838,9089,8184,11393,12129,26513,28105,21502,16545,13576,13840,5846,4753,3003,4030,4373,4334,9245,3548,3786,3053,3601,3667,3736,3400,588,502,283,192,394,316,407,267,278,119,150,10025,898,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
存货(万元),112945,109885,101195,98099,122323,117841,116296,119533,77551,61584,51136,43429,57880,39533,43880,41215,40028,41529,46977,44300,39004,34365,32786,31517,34115,30736,29903,30457,34274,31094,26698,25173,23873,23277,22812,20112,18893,20675,16025,11073,11086,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
其他流动资产(万元),3812,5287,5085,6420,4174,4163,3640,3478,1578,865,1439,2140,2319,2116,5105,21418,805,826,531,840,314,570,340,92,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
流动资产合计(万元),327635,336683,399204,295734,322006,343661,300120,319226,323098,334849,347363,210026,267619,221491,208524,219816,224637,193688,212763,221477,209268,200746,142691,141922,122324,115018,121244,119001,116256,115803,125590,131571,118695,110278,110675,116515,122541,40063,32331,36966,20422,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
可供出售金融资产(万元),94238,97335,102715,101702,97652,95711,91059,85588,79995,63578,80680,37946,28878,18667,10690,5498,5505,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
长期股权投资(万元),55175,55527,46584,45445,48386,55957,54781,54186,36790,37096,27626,33020,24358,23892,25218,16118,16565,21725,5583,5779,5577,3455,3645,3741,3850,3426,3231,3312,3403,395,388,--,--,0,--,0,--,0,0,0,4287,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
固定资产原值(万元),--,52626,--,51094,--,53618,--,51250,--,40328,--,38946,--,38384,--,37568,--,35945,--,34133,--,25689,--,14051,--,11956,--,11839,--,12130,--,11331,--,10884,--,10340,--,10007,9588,0,--,
累计折旧(万元),--,21443,--,19727,--,20188,--,18080,--,15091,--,13358,--,12227,--,10830,--,9849,--,8710,--,7334,--,6636,--,6209,--,5660,--,5618,--,5166,--,4628,--,4174,--,3746,3297,0,--,
