报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),133210,131214,149400,186016,209127,172649,188891,184867,203801,147626,140808,182892,183763,123526,146824,178876,159045,109507,92387,87249,140612,127753,128023,144145,120533,78261,85233,35186,71455,33194,31327,21098,12397,18471,21452,20743,42704,55186,33372,52162,4206,2047,4057,3811,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,0,0,0,0,0,0,
交易性金融资产(万元),10999,66,--,--,--,5,--,--,74,93,--,--,--,--,--,--,--,209,--,--,--,23,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,0,0,0,0,61,27,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,0,0,0,0,0,0,
应收票据(万元),11977,10023,10332,11881,9914,10375,6473,5197,5377,11265,11393,10162,13184,9071,6755,9804,10232,9401,7138,4903,2406,3841,790,6726,11522,12526,5671,2901,3985,3603,1655,1391,316,360,2740,717,199,622,4779,861,3335,1031,884,745,
应收账款(万元),1124,1124,1713,1603,1220,1466,5553,1006,210,13853,661,752,1700,984,5825,18643,16365,10989,21222,11929,10536,12327,7337,2585,6346,6904,2455,1482,1748,1297,4493,2439,2026,2352,739,715,2026,1744,2791,3871,995,1791,2490,2063,
预付款项(万元),185523,164637,255488,226435,170662,163096,75981,74696,93679,108055,122080,142330,100459,131329,170800,179749,186155,184906,124853,145098,146263,153379,117833,151310,129169,107983,144776,96730,74386,32747,84446,89330,45000,27993,36454,62256,18349,18128,8661,16253,10400,10347,9959,7946,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,0,0,0,0,0,0,
