报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),17727,17059,21586,32906,21408,9038,7474,13685,6120,12243,1797,7340,8320,6458,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),87387,76986,65960,62401,61029,54535,48842,45455,41000,30416,29200,24726,15024,8935,
预付款项(万元),1366,780,1131,660,870,717,550,312,257,287,329,296,175,193,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),64,--,2,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3238,2982,3269,2848,2828,2589,3214,1313,1820,1601,2219,1720,709,1448,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),1905,1816,3237,2616,4053,984,672,766,897,3664,2299,2387,1477,1173,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1290,900,750,--,--,--,--,--,--,--,--,1,--,--,
流动资产合计(万元),112977,100522,95935,101432,90189,67862,60752,61531,50093,48212,35844,36469,25705,18206,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),58,60,62,65,67,69,72,74,79,83,90,92,--,--,
固定资产原值(万元),--,7231,--,6435,--,5899,5256,5143,--,5040,4735,--,--,--,
累计折旧(万元),--,4215,--,3727,--,3376,3208,3005,--,2312,1510,--,--,--,
固定资产净值(万元),--,3016,--,2709,--,2523,2048,2137,--,2728,3225,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),2858,3016,2767,2709,2623,2523,2048,2137,2412,2728,3225,2872,2271,1256,
在建工程(万元),79,--,--,--,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
