报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,
固定资产减值准备(万元),9225,--,9225,--,9225,--,9225,--,9225,--,9225,--,9225,--,9225,--,9225,--,9028,--,8787,--,13805,--,13805,--,--,--,--,--,
固定资产(万元),269284,270630,276538,277213,278888,281953,284659,284168,285857,289991,293609,286674,287089,286995,285365,165670,80306,141685,88835,96227,98408,107602,106309,103223,100420,71742,75523,71878,70804,71451,
在建工程(万元),87361,79303,75330,65346,59040,56507,52366,52170,47733,42066,34866,36049,27782,24489,20785,--,72955,--,3982,--,2002,--,3317,--,2543,--,--,--,--,1817,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),221711,222923,224666,220784,221256,226864,220794,220216,219200,219568,219374,217073,216491,216813,216613,104838,107451,104845,101826,99990,99256,97927,97820,97706,12291,10953,11430,10316,11519,1229,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),58141,58141,58141,58141,58141,58141,58141,58141,58141,58141,58141,58141,58141,58141,58141,249,249,249,249,249,249,249,249,249,249,--,249,--,249,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,661,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),64807,35277,33391,25830,31937,58558,76237,73260,102702,70202,21813,77688,5936,4046,12726,30234,19055,3481,2830,4753,7164,1680,1449,1123,885,747,1166,2925,2925,--,
其他非流动资产(万元),240513,238287,235626,276192,278172,277106,307333,365265,378071,354085,452141,384551,433293,397176,500675,116781,108544,1949964,50385,832538,48799,557017,391946,172052,144470,80186,65005,28380,119340,3804,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
资产总计(万元),44045540,45426239,43164819,41555677,40472630,39073214,41174904,38602806,41588926,43331413,45434239,48135968,59610866,37945723,31930245,17456199,15535741,11886701,10608039,9428238,9173009,9588622,10726010,9884427,11045099,7192514,7393226,10413132,11158852,8369690,
短期借款(万元),865901,801553,1152028,561814,636433,604406,616266,738093,732752,662704,538700,492568,1089808,1008752,410395,398059,316309,197424,61205,52989,16214,72351,--,43620,44025,--,--,--,46820,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),765000,840000,760000,770000,755000,455000,470000,120000,400000,137000,841200,990100,931900,941900,1099300,613400,492700,603700,300000,130000,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),3033200,2962704,2446739,2311647,2239143,1637842,1651536,1388203,1357655,1265751,641418,971837,874340,849149,523474,138840,145770,1588,114341,126791,4116,58605,6935,13173,--,--,--,--,--,--,
衍生金融负债(万元),18472,42008,40283,17589,13731,9221,29050,20267,21245,6503,13310,16134,25366,20961,19600,12878,24956,3496,589,--,--,--,--,--,--,--,--,--,17936,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),2163025,2035008,1978467,1959185,2039324,2130799,2149125,2202197,2145427,1989135,2053364,1955729,2489426,2031867,1713425,1432358,856457,--,615610,--,644242,--,--,--,--,--,--,--,--,204700,
预收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
卖出回购金融资产款(万元),5075594,4589820,4684958,4390483,4728758,3956337,3971842,4827748,7072547,7829155,8211941,9083093,11259737,8739861,7480767,2327846,2806235,1610197,1691816,708865,1007718,528494,276307,217394,307733,373230,447581,88288,86640,103504,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),425518,452847,500595,577696,502365,598804,626917,686839,631547,678078,677952,649324,556543,431707,346798,169085,141720,129027,131901,113162,89761,85219,151060,185905,230569,149982,205078,329703,155987,--,
应交税费(万元),188254,147896,260683,187350,157433,278693,382099,275301,276852,431114,502201,389235,385095,249537,212848,58692,117632,63755,55202,62695,81448,76149,99373,50921,153506,92649,202549,182626,266694,143255,
应付利息(万元),201274,209001,149272,187089,194125,253795,181436,181349,183158,292894,232956,220258,242263,186646,143728,90110,69913,15410,19407,8497,15236,8345,2141,1028,1063,8494,3075,9548,4437,8378,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1181,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1525,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19872,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),7580067,8398233,6923075,7409711,8282324,8352895,9325667,9281302,11485994,12114559,13276994,15278965,22447179,11896087,8664791,4258483,3618671,3803976,3607077,3738318,4144899,4860946,6820883,6318912,7448835,4131450,4354126,7743725,7243837,6663501,
代理承销证券款(万元),7164,--,5967,23147,16813,6597,992230,183849,57609,2436,161276,1504,146632,41513,1786,19800,13702,--,1456,--,2166,--,--,--,--,--,2123,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,277,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7213063,
长期借款(万元),--,--,--,--,16964,186436,197804,10002,189444,257474,468261,463630,453854,78417,78098,78581,--,--,--,--,--,--,--,--,--,--,--,--,190000,190000,
应付债券(万元),7583178,7256745,6831209,6668870,6245489,7412980,7273876,6230319,4976657,5815546,5762398,5560217,6051708,3302890,3151354,2204392,1400000,300000,300000,300000,300000,300000,--,--,--,165000,165000,165000,165000,165000,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,145,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),8211,8213,8214,3211,3211,3211,3211,211,211,335,211,300,211,211,211,533,533,211,211,3219,3219,5664,5664,5664,5664,7556,9755,8858,8858,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),9869,18293,18161,17856,8782,10760,10392,20818,22313,6284,25031,60164,116753,107842,134439,42523,2731,18301,32005,54692,32429,52353,56377,47248,104925,134216,59560,106666,425855,--,
其他非流动负债(万元),225526,298905,327935,549214,565500,657657,670345,792787,992171,1371485,1569952,1690086,1597122,1241433,1502520,1013783,1402668,1769195,14982,1022948,9016,769258,632527,742559,419555,217077,246689,198157,197455,--,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,355145,
负债合计(万元),30806487,31749127,29795296,28397713,27696125,28045914,30099732,27771429,31304851,32968202,35270567,38299410,49874304,32397284,27200379,13709362,12035526,8516280,7352777,6322175,6350464,6817384,8051267,7626423,8715874,5279655,5695535,8832572,8811380,7568207,
实收资本(或股本)(万元),871394,871394,871393,871393,871393,762500,762500,762500,762500,762500,762500,762500,762500,610000,610000,610000,610000,610000,610000,610000,470000,470000,470000,470000,470000,470000,470000,470000,470000,470000,
资本公积(万元),4381410,4389199,4344790,4338031,4339159,2937979,2937429,2933375,2935925,2929988,2929341,2927276,2928715,122171,121954,210443,130502,178336,131817,159585,199797,257888,268168,175064,338390,418378,196840,324394,1230684,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),650808,650807,649682,572949,572949,572949,572949,498971,498971,498971,498971,348129,348129,348129,348129,289618,289618,261926,261926,241376,241376,218189,218189,180808,180808,120596,120596,59434,59434,4203,
一般风险准备(万元),1397091,1397709,1395458,1219398,1219398,1219398,1219398,1026524,1026524,1026505,1026670,710641,710641,710641,710641,285416,586238,257724,527811,237173,474347,213986,213986,176605,176605,116393,116393,55231,55231,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),3779710,4029220,3834722,3802892,3574987,3355695,3455736,3503101,3240248,3430153,3193800,3422003,3189654,2509427,2225892,1963817,1763515,1734075,1561736,1567394,1386258,1342880,1231940,1080965,987958,671100,679444,616269,477742,327280,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-31821,--,-31023,--,-25810,-27824,-22695,-17727,-12791,-11674,--,-11507,--,-6935,--,
归属于母公司股东权益合计(万元),12186720,12528776,12312798,12071537,11692017,9929324,9996442,9749551,9425308,9639203,9532441,9223845,9130360,4986964,4204047,3610371,3406517,3268761,3172270,3026892,2743954,2694235,2598542,2247258,2318692,1912858,1688158,1580560,2341388,801483,
少数股东权益(万元),1052333,1148336,1056724,1086427,1084489,1097977,1078730,1081826,858767,724008,631231,612712,606202,561474,525820,136466,93698,101660,82992,79171,78591,77003,76200,10746,10533,--,9533,--,6084,--,
所有者权益(或股东权益)合计(万元),13239053,13677112,13369522,13157964,12776505,11027300,11075172,10831377,10284075,10363211,10163672,9836558,9736562,5548438,4729867,3746837,3500215,3370421,3255262,3106063,2822545,2771238,2674743,2258003,2329225,1912858,1697691,1580560,2347472,801483,
负债和所有者权益(或股东权益)总计(万元),44045540,45426239,43164819,41555677,40472630,39073214,41174904,38602806,41588926,43331413,45434239,48135968,59610866,37945723,31930245,17456199,15535741,11886701,10608039,9428238,9173009,9588622,10726010,9884427,11045099,7192514,7393226,10413132,11158852,8369690,		
  
