报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),60048,89914,80801,78791,144301,132386,118573,67763,111246,158744,167667,281450,52958,97123,59350,87214,66709,84439,32230,48467,56328,76270,48610,68259,78117,100991,76098,70920,78834,98320,113703,127971,133321,160429,149718,154541,6426,20381,16676,14218,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,610,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收票据(万元),4861,5758,4695,7859,9202,12298,14085,12915,9904,7510,4377,3016,8480,13868,12055,7583,5301,3918,4445,5281,7084,5146,5382,5685,6173,6227,4127,3928,911,1326,--,882,2542,2913,690,195,75,283,4942,841,
应收账款(万元),212930,186106,314187,261780,230095,201814,248551,208794,225887,226747,226536,220253,205746,178319,188569,171317,152119,127495,137114,120373,97823,98784,109692,101581,96950,86236,93429,93833,81131,79272,64745,56134,57305,54523,60273,57775,58004,46018,46369,34218,
预付款项(万元),22375,17291,26753,23678,22921,18231,20519,15538,13865,10999,9798,7501,7263,4894,14098,19650,7949,8368,20832,14964,18999,4021,18503,11709,14570,4050,10651,4275,6526,6931,27149,19719,13957,5730,2562,1586,1172,504,2079,4078,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1069,401,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
其他应收款(万元),--,6468,21748,20095,18567,5856,17506,33276,12481,8786,9002,7824,7748,5769,6329,3763,4343,2734,4808,4358,4180,4232,7612,4369,5656,2852,3599,3309,5193,3797,3273,2561,3413,1936,760,777,1963,991,644,1726,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
存货(万元),346653,327902,278878,328294,319921,273835,260432,226031,209473,210157,203693,177042,154129,119943,120858,77588,69176,82799,77947,80593,65420,68525,62533,56752,53315,51271,50157,44355,41973,37501,23556,22432,27129,23612,21447,19821,21988,19169,8899,11990,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
其他流动资产(万元),56740,45890,29834,45140,34067,23787,18538,18926,12466,12955,11907,14727,14871,18215,5258,3906,3054,4402,2590,3958,2288,4498,1728,2581,3205,4051,563,199,413,369,720,--,--,--,--,0,--,0,0,5,
流动资产合计(万元),719119,679329,756895,765637,779073,668208,698204,583244,595322,635898,632979,711814,451194,438131,406518,371022,308653,314765,279967,277994,252122,261477,254059,250936,257986,255678,238624,220819,214981,227515,233146,229701,237667,249143,236519,235097,89628,87348,79609,67074,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
可供出售金融资产(万元),--,1085,1085,1085,1085,1085,1085,1085,1085,1085,5004,2004,2004,2004,2004,2004,2004,1085,1085,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
长期股权投资(万元),45241,45646,40335,41172,41728,41345,39739,39877,38460,3768,--,--,--,--,--,--,--,--,--,1085,1085,1085,1085,1085,1085,1085,1085,1085,500,500,500,500,500,500,634,500,500,500,750,628,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,
固定资产原值(万元),--,339709,--,311713,--,299401,--,239471,--,227398,--,217107,--,201421,--,163221,--,158839,--,128224,--,119250,--,94544,--,91251,--,70127,--,64271,--,43022,--,40596,--,33580,--,31325,15415,0,
累计折旧(万元),--,104058,--,93111,--,81842,--,73157,--,64572,--,56790,--,49040,--,42765,--,36845,--,31309,--,26663,--,22766,--,19865,--,16939,--,14278,--,11810,--,10408,--,9140,--,8142,7642,0,
固定资产净值(万元),--,235651,--,218602,--,217559,--,166314,--,162826,--,160317,--,152381,--,120456,--,121994,--,96915,--,92586,--,71778,--,71386,--,53188,--,49993,--,31212,--,30188,--,24440,--,23183,7773,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
固定资产(万元),--,235651,226266,218602,216213,217559,169250,166314,164324,162826,159782,160317,153877,152381,149789,120456,120574,121994,115131,96915,93942,92586,72152,71778,71814,71386,63916,53188,50746,49993,31717,31212,30230,30188,25113,24440,23721,23183,7773,7376,
在建工程(万元),--,214200,173752,132707,63786,51724,67451,59201,43798,35810,37349,28822,31207,27699,20142,15979,9788,5053,11886,26023,26457,24795,36511,29829,23649,19382,22401,27257,22083,6969,7801,6706,6200,4295,8753,5250,4398,2607,4031,547,
工程物资(万元),--,10896,--,12311,18441,7964,2881,8961,7343,5638,--,--,--,--,146,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,
