报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),23764,23409,18962,17637,16495,27140,32650,36495,18009,12827,11711,10077,11678,16784,8191,8330,8201,13862,11685,22859,25101,29965,20288,19788,17848,29040,24592,27245,28938,33114,31222,33316,35364,38733,38288,39039,39534,46963,2548,3859,2828,1328,359,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,0,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,4900,4900,10000,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,0,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),--,0,--,--,0,10,--,--,171,270,--,--,0,--,72,88,54,20,68,--,--,--,--,10,10,--,--,0,9,9,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收账款(万元),20338,21185,20800,20780,20196,20267,18185,17238,18339,18316,17724,16547,16656,18773,18884,15542,15002,15472,17273,14798,13082,12983,12821,12974,11603,9451,10911,9642,8536,7187,7749,6526,5472,5141,5004,4488,3545,3841,3493,3196,2212,2239,1246,
预付款项(万元),2002,1281,3004,3307,2582,2013,1860,2092,2099,1680,2615,2508,3538,1931,7197,7990,7248,3116,5729,4652,4627,2377,4323,4902,4129,3127,4506,2945,3736,2810,4063,4536,3719,2623,4530,2519,2752,1585,2342,1398,416,355,472,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
