报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),14706,17396,19833,14732,15224,26029,20000,18184,27165,17741,17929,16065,22075,18708,21359,22951,31975,6422,--,4566,5946,5272,7759,6633,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),16890,12348,13281,14954,16977,14755,13366,11974,12778,10884,14093,11742,12845,10853,11357,12401,11835,11975,--,12446,9821,3607,1011,1411,
应收账款(万元),37617,42351,37213,36476,36224,38486,30498,33594,33241,20585,19642,23784,21944,22716,20608,23613,23229,20883,--,19378,18081,16289,16714,13648,
预付款项(万元),9445,8036,14157,14292,7284,9901,11938,11412,5018,1601,810,5898,2355,2338,580,756,788,1601,--,2079,1006,834,779,1262,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,8,43,3,36,66,22,--,20,--,52,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),714,609,730,794,772,822,934,617,693,223,33,25,47,39,40,30,24,561,--,554,397,327,272,60,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),32216,28828,28920,28198,28404,26043,28579,26107,23890,13171,14341,13720,14089,14737,14835,13890,12944,12701,--,13236,12869,15656,16169,10502,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2055,3264,3000,4031,5000,5029,7000,7000,7000,7000,7000,7000,7000,10000,10000,8000,--,--,--,--,--,--,--,--,
流动资产合计(万元),113644,112831,117134,113478,109892,121107,112317,108924,109851,71226,73849,78254,80355,79443,78779,81642,80795,54143,50233,52259,48120,41985,42704,33517,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),500,600,--,200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,170,170,1947,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),184,184,700,195,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,158212,--,147319,--,139953,--,132198,--,51854,--,46939,--,45635,--,37313,--,36103,--,34372,33436,--,--,--,
累计折旧(万元),--,66207,--,60230,--,54810,--,51238,--,21400,--,20011,--,18357,--,16846,--,15638,--,14321,13200,--,--,--,
固定资产净值(万元),--,92005,--,87089,--,85143,--,80960,--,30454,--,26928,--,27278,--,20467,--,20465,--,20051,20235,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),93151,92005,86435,87089,87214,85143,79706,80960,74694,30454,27511,26928,27509,27278,21751,20467,20565,20465,--,20051,20235,19581,15521,13209,
在建工程(万元),5443,7097,4739,4759,6594,6868,8324,6959,7218,6194,8567,2919,2931,2723,6783,6487,1822,1673,--,621,549,681,78,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),14956,15037,15038,15298,15502,15703,11312,11424,9111,3057,3085,3121,3100,3136,2964,2984,3010,3028,--,3030,3042,3102,1563,1580,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),5937,5937,9275,9275,9275,9275,15155,15155,55352,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),51,63,52,68,86,99,126,135,1391,60,30,5,8,11,70,60,57,21,--,--,--,--,--,6,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1278,905,961,856,859,894,882,891,845,568,298,325,460,319,312,312,270,278,--,261,246,438,355,186,
其他非流动资产(万元),--,--,--,--,--,--,--,--,1896,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),121500,121829,117200,117739,119531,117983,115677,115695,152454,40334,39490,33299,34007,33466,31880,30310,25723,25466,--,23963,24073,23803,17517,14981,
资产总计(万元),235144,234659,234335,231217,229423,239090,227994,224618,262305,111560,113339,111553,114362,112909,110659,111952,106518,79609,74716,76222,72193,65788,60221,48498,
