报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,
货币资金(万元),21670,46860,20448,21552,20486,24199,27831,39016,40563,42863,36468,44011,7894,6773,8969,6841,8017,7706,6048,1617,3518,1097,2795,883,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),241,2152,2429,2899,1168,1562,359,226,710,256,603,102,1008,463,362,100,176,--,180,10,135,11,50,15,
应收账款(万元),110842,107288,92637,79269,67032,75360,63827,58245,40389,46525,36027,31747,32550,26246,23847,21503,22729,13763,13710,10169,8282,6205,5533,2881,
预付款项(万元),2782,573,1261,681,864,379,3068,318,245,210,906,793,833,635,780,944,2716,2883,346,320,316,44,63,97,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,225,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他应收款(万元),8865,5291,9108,7213,6316,6048,5471,6011,5321,3602,5114,4212,2563,2943,2043,2751,1153,2310,848,1274,879,1327,746,686,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
