报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),2611,6036,3455,4059,4456,32839,9772,8962,6839,4326,2518,3182,4124,
结算备付金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
应收票据(万元),1885,2730,3145,3040,2514,2544,2984,3832,2292,1761,1080,875,1239,
应收账款(万元),6848,5382,5031,4192,4696,4152,3971,3332,3660,3027,3182,3097,3043,
预付款项(万元),789,504,510,404,703,798,726,424,615,381,451,899,4366,
应收保费(万元),188,--,--,--,0,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
应收利息(万元),--,78,227,283,130,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
其他应收款(万元),66,8,8,9,3,4,40,38,37,323,532,512,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
存货(万元),2413,1531,1622,1636,1466,1488,1597,1417,1650,2273,1540,1530,603,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
其他流动资产(万元),26537,26027,26840,27390,26380,--,--,--,--,201,--,--,--,
流动资产合计(万元),41338,42297,40839,41013,40348,41825,19090,18005,15093,12291,9302,10095,13374,
发放贷款及垫款(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,17352,--,17144,--,16165,16053,16044,--,15891,--,--,--,
累计折旧(万元),--,6504,--,5923,--,5327,4993,4668,--,3347,--,--,--,
固定资产净值(万元),--,10848,--,11221,--,10838,11061,11376,--,12545,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),13927,10848,10973,11221,10843,10838,11061,11376,11899,12545,13304,11150,2475,
在建工程(万元),1978,2961,1418,824,1122,695,679,560,552,165,125,855,2243,
工程物资(万元),305,76,12,--,0,--,--,--,--,--,--,165,--,
固定资产清理(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
无形资产(万元),4234,4258,4283,4307,4331,4355,4379,4403,4452,4500,4592,4680,2220,
开发支出(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
长期待摊费用(万元),14,16,--,--,0,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),162,151,145,142,126,125,153,142,147,104,58,84,30,
其他非流动资产(万元),740,877,892,62,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),21361,19187,17723,16556,16421,16013,16272,16482,17049,17314,18078,16933,6969,
资产总计(万元),62698,61485,58562,57569,56769,57838,35362,34486,32143,29605,27380,27028,20343,
短期借款(万元),--,--,--,--,0,0,3550,3550,3500,3500,3500,5300,5015,
向中央银行借款(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,700,850,--,--,700,--,--,--,--,
