报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),125543,110075,99706,341443,31952,48582,67554,53147,50989,31776,36016,45905,58639,38843,56324,54551,58908,60776,53258,51960,51749,63249,57767,52924,52306,88575,85930,69300,80213,82806,75679,93988,31837,46663,42818,52484,50290,51588,39777,29262,29286,30518,7520,2252,10794,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
交易性金融资产(万元),19888,24734,19410,14886,14257,13882,8194,13865,17238,17421,18877,25240,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收票据(万元),25551,30544,31447,23004,21873,20328,16479,19446,22509,18098,23691,25182,35237,39208,42307,49290,50562,51075,54550,36193,21092,13859,19018,19230,9836,13238,15025,19254,9507,3818,2952,439,856,1251,4755,1110,916,439,616,--,--,0,0,0,--,
应收账款(万元),9275,8463,10394,9576,11089,10711,12758,11317,10988,9503,9063,9708,9116,7415,7985,8664,8389,7287,7071,6790,6609,5993,5647,5303,4905,4950,5281,4831,3650,3208,3844,3118,3633,4773,6421,4363,4082,3849,3019,3504,3851,2604,2983,5098,2807,
预付款项(万元),3708,3450,2151,4621,4635,4282,2807,2720,3567,2178,2325,3820,4232,4007,3512,5554,3684,3561,3039,13661,12637,8821,7438,10082,10198,9714,6843,8198,5129,4178,3615,16380,24130,18454,11029,16454,22975,40542,37006,9730,9620,3703,2652,1962,1916,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,--,
其他应收款(万元),1431,2324,1678,2140,1565,1168,1015,2233,2013,1452,1946,1993,1672,2422,1137,1542,1436,1793,1433,1808,2362,1119,1072,1645,1015,1046,912,2126,2723,1928,2003,1495,1614,1605,1629,2247,2309,1897,2796,2989,3305,4366,3088,4966,6594,
