报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
应收利息(万元),--,--,--,--,120,--,--,--,--,--,--,11,77,36,19,9,751,251,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),4607,4564,4426,4668,6455,5637,5114,6292,4915,3893,4260,2929,3759,2985,2662,1937,1721,1737,1288,2544,1312,1096,1078,1184,563,400,550,314,693,1006,1124,934,143,2237,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),75325,74502,73699,116863,71540,42371,50418,109974,51701,28321,30800,38452,21064,30611,36044,55377,20170,25739,30541,36082,22606,32836,38421,48426,21284,29899,37466,42918,19465,25176,31407,39866,22029,12360,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,17000,17000,18000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),6051,6398,6226,9183,5264,4914,3169,6167,1410,1624,1159,1745,933,1015,992,1565,911,895,796,686,513,485,456,497,--,--,--,--,--,--,--,0,0,0,
流动资产合计(万元),203830,199491,249531,251022,217710,166029,196923,236598,176669,86984,92799,99299,100162,81038,80203,94123,83732,107774,76326,81526,98398,83651,102967,102724,102895,103778,125571,126274,122395,102515,47017,50560,27846,19466,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),2974,2974,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2972,2962,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,1127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),12972,13953,13878,13807,12574,13406,9467,9444,9037,8915,8776,8702,8700,--,--,--,2962,2962,2962,2962,2962,2962,552,552,552,552,552,552,563,563,473,473,463,1109,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),7926,8033,4704,4770,4835,4901,3278,3322,3366,3410,3467,3497,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产原值(万元),--,143555,--,141881,--,143775,--,134855,--,121437,--,77344,--,64578,--,63391,--,44564,--,43345,--,33128,--,32427,--,25337,--,24664,--,22313,--,21335,13487,0,
累计折旧(万元),--,30260,--,25377,--,28670,--,24386,--,19075,--,17635,--,15370,--,13254,--,11505,--,9813,--,8378,--,6974,--,5670,--,4704,--,3757,--,3034,1714,0,
固定资产净值(万元),--,113295,--,116503,--,115105,--,110469,--,102361,--,59709,--,49209,--,50137,--,33058,--,33532,--,24750,--,25453,--,19667,--,19960,--,18556,--,18301,11773,0,
固定资产减值准备(万元),--,--,--,--,--,93,--,93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),113749,113295,115296,116503,114490,115012,110237,110376,107225,102361,95649,59709,52682,49209,49559,50137,33659,33058,33545,33532,27486,24750,25119,25453,24899,19667,19706,19960,18751,18556,18748,18301,11773,6055,
在建工程(万元),22390,16672,9088,5649,12181,9240,15903,14403,12161,532,6078,32159,38556,38014,34517,29275,33665,27954,15687,9034,9283,7709,7254,6526,3391,6250,5897,5555,6235,3334,1196,1560,2869,3345,
工程物资(万元),--,--,--,--,--,2,2,--,204,389,216,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,827,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),6065,6085,6102,6124,6805,6771,7694,7735,7225,6963,6705,6699,5570,5379,5036,5025,5038,4845,4605,4500,4392,4168,3460,3425,2755,2543,2359,2300,2544,1817,1788,1710,981,1038,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),27990,28243,28597,29008,28211,18326,18116,18410,19267,9021,9049,9240,9282,9365,9424,9480,9300,4441,4420,4412,3248,3291,3274,3309,2483,2391,2420,2453,2487,2500,2548,2561,2015,1458,
开发支出(万元),34,34,34,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
商誉(万元),80100,80100,80100,80100,80100,80100,80100,80100,79556,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期待摊费用(万元),2159,1754,2174,1822,2002,2173,2649,2679,3383,2930,3116,3407,4020,4137,4058,4369,4184,4078,4156,4336,4296,4141,4318,4441,3893,2819,2701,2726,161,162,169,114,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),1014,975,1542,1526,216,200,206,396,205,138,530,531,142,123,127,156,104,108,126,109,98,107,179,279,134,84,123,177,34,46,47,48,9,40,
其他非流动资产(万元),1675,3898,1531,2048,1955,11268,10813,18169,9061,12407,9761,11570,28761,30366,28832,28580,33875,18902,13384,13450,13301,25328,22299,11843,--,--,--,--,--,--,--,0,0,0,
非流动资产合计(万元),279047,276017,266018,264360,267467,264371,261437,268006,253663,150039,147146,138487,150684,139565,134525,129986,122787,96348,78885,72335,65066,72455,66454,55828,38107,34307,33760,33724,30775,26978,24968,24767,18110,13044,
资产总计(万元),482877,475509,515549,515382,485177,430400,458360,504604,430331,237023,239945,237786,250846,220602,214728,224109,206519,204123,155211,153861,163464,156106,169421,158552,141002,138085,159330,159998,153171,129493,71986,75327,45956,32511,
短期借款(万元),49200,34345,70845,70845,40000,23000,24000,41380,12350,18000,15800,26000,35000,10000,--,10000,--,--,--,--,10000,10000,21000,11000,--,0,20000,20000,20800,800,26800,28800,12800,8200,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),--,--,0,405,525,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付账款(万元),--,42025,37905,55270,58311,26517,23374,57837,12832,9222,6003,3746,5461,3525,3717,6020,3739,3734,3307,4024,3220,2914,2585,3739,2870,2128,2301,3552,2144,1669,1954,2609,2557,1745,
预收账款(万元),4784,4555,5216,5314,5247,4847,4331,4733,5718,3462,4041,3863,4122,3359,3551,3736,3310,2268,3529,3891,2793,2019,1662,1943,775,773,843,2403,419,389,1848,4686,2373,1749,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),2534,1979,4021,3496,3819,2394,2764,3996,2083,1374,1251,1343,1412,1313,982,1368,954,674,878,1053,991,792,718,1304,746,436,606,364,493,479,531,728,710,396,
应交税费(万元),938,1272,4126,677,832,824,3567,787,5091,383,591,195,441,578,1018,1875,473,325,585,1840,1678,139,326,585,155,178,-46,-7,82,113,387,559,861,847,
应付利息(万元),--,489,2449,1801,1143,508,4012,2970,1856,792,3990,2916,1853,791,4010,2948,1853,791,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1476,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,143,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),7947,6191,7204,5230,6175,5687,6103,6447,6874,8224,8397,5186,5969,1885,2071,2429,1792,2078,1665,1423,954,584,400,452,325,354,551,1711,1263,951,312,338,490,2693,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动负债(万元),306,30474,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,236,236,236,236,--,--,--,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
流动负债合计(万元),112857,121332,131766,143039,116051,63877,68153,118149,46804,41457,40073,43249,54258,22927,15350,28376,12121,9870,9964,12232,19636,16447,26691,19023,5107,4106,24492,28259,25201,4400,31832,37863,19790,15630,
长期借款(万元),25061,10061,91,91,2091,2122,4922,9122,9122,122,152,152,152,152,183,183,183,213,213,213,4512,4543,7143,7143,7643,7673,8173,8173,8607,7147,6207,6207,4808,2808,
应付债券(万元),0,--,30466,30457,30447,30438,49884,49870,49856,49842,49829,49816,49803,49791,49778,49766,49755,49743,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期应付款(万元),0,69,3072,3072,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期递延收益(万元),9788,8967,8598,8832,8883,8322,8717,6744,6563,5922,9864,6342,5547,5645,5900,5758,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税负债(万元),1749,1803,2343,2397,1740,1794,1849,1903,2139,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他非流动负债(万元),44,44,44,44,44,67,--,44,--,--,--,--,--,--,--,--,5431,5755,5753,5284,4833,4888,4862,4981,3826,3843,3874,3990,3223,3285,3234,3359,1826,987,
非流动负债合计(万元),36642,20944,44614,44894,43206,42744,65371,67682,67680,55886,59845,56310,55502,55588,55861,55706,55368,55711,5966,5497,9345,9431,12005,12124,11468,11516,12047,12163,11830,10431,9441,9566,6634,3795,
负债合计(万元),149498,142276,176381,187932,159256,106621,133524,185831,114483,97343,99918,99559,109761,78515,71211,84082,67489,65580,15930,17729,28982,25878,38696,31147,16575,15622,36539,40421,37031,14831,41273,47429,26424,19424,
实收资本(或股本)(万元),51568,51568,51568,51568,51568,51568,25784,25784,25784,14760,14760,14760,14760,14760,14760,14760,14760,14760,14760,14760,14760,14760,14760,14760,14760,14760,7380,7380,7380,7380,5520,5520,5520,2332,
资本公积(万元),222887,222887,222887,222887,222887,222887,248671,248671,248671,83549,83549,83549,83549,83549,83549,83549,83549,83549,83549,83549,83549,83549,83549,83549,83549,83549,90929,90929,90929,90929,11311,11311,11311,5674,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
盈余公积(万元),7597,7597,7597,7597,7297,7297,7297,7297,6191,6191,6191,6191,5956,5956,5956,5956,5132,5132,5132,5132,3765,3765,3765,3765,2550,2550,2550,2550,1311,1311,1311,1311,294,501,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
未分配利润(万元),52294,51850,57159,45134,43555,41614,42500,36548,35209,35183,35527,33727,36821,37823,39253,35762,35589,35102,35841,32691,32409,28155,28652,25332,23568,21604,21933,18717,16513,15039,12568,9754,2408,4559,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,4,2,2,0,0,
归属于母公司股东权益合计(万元),334346,333902,339210,327185,325307,323366,324253,318301,315855,139683,140027,138227,141085,142087,143517,140026,139030,138542,139281,136132,134482,130228,130725,127405,124427,122463,122792,119577,116139,114662,30713,27898,19532,13066,
少数股东权益(万元),-967,-669,-42,264,614,413,584,472,-7,-3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,20,
所有者权益(或股东权益)合计(万元),333379,333233,339168,327449,325921,323780,324836,318773,315848,139680,140027,138227,141085,142087,143517,140026,139030,138542,139281,136132,134482,130228,130725,127405,124427,122463,122792,119577,116139,114662,30713,27898,19532,13086,
负债和所有者权益(或股东权益)总计(万元),482877,475509,515549,515382,485177,430400,458360,504604,430331,237023,239945,237786,250846,220602,214728,224109,206519,204123,155211,153861,163464,156106,169421,158552,141002,138085,159330,159998,153171,129493,71986,75327,45956,32511,		
  
