报告日期,2017-09-30,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),8565,8995,23761,11318,12197,11230,13064,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),1468,3706,2751,1665,1701,1663,1328,
应收账款(万元),23199,17985,14505,13383,13055,15163,10561,
预付款项(万元),1693,609,464,543,367,477,340,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),235,203,61,76,77,1429,205,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),12453,10832,10869,11432,10155,7449,5202,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),124,178,13,12,18,26,11,
流动资产合计(万元),47738,42507,52423,38428,37570,37438,30712,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),113,132,157,180,184,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,13819,13344,--,--,--,--,
累计折旧(万元),--,4317,3946,--,--,--,--,
固定资产净值(万元),--,9502,9398,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),9367,9502,9398,9569,9644,9846,9893,
在建工程(万元),--,--,14,--,--,--,5,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),1210,1171,1000,913,923,944,984,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),547,674,433,569,534,261,431,
其他非流动资产(万元),--,--,--,--,--,--,--,
非流动资产合计(万元),11237,11479,11003,11231,11285,11051,11314,
资产总计(万元),58974,53986,63427,49659,48855,48489,42025,
短期借款(万元),9200,8900,10400,11746,12500,12800,11171,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,
应付账款(万元),6194,3896,5764,5192,4811,5974,4431,
预收账款(万元),1066,917,841,1220,807,636,737,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),641,533,2379,402,1890,1261,1666,
应交税费(万元),795,270,3704,344,1348,2240,1665,
应付利息(万元),10,10,18,20,38,22,20,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),10,11,105,28,3007,1578,303,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),7,7,7,7,7,--,--,
流动负债合计(万元),17924,14544,23219,18958,24409,24511,19993,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,110,357,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),172,151,92,52,41,3,--,
长期递延收益(万元),178,180,184,189,191,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),350,332,275,241,232,113,357,
负债合计(万元),18275,14876,23495,19199,24641,24624,20350,
实收资本(或股本)(万元),12600,12600,12600,12600,1335,1335,1335,
资本公积(万元),8374,8374,8374,8374,--,6,6,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),623,623,623,--,--,668,668,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),19102,17513,18335,9485,22879,19599,18192,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),40700,39110,39932,30460,24214,21607,20201,
少数股东权益(万元),--,--,--,--,--,2257,1475,
所有者权益(或股东权益)合计(万元),40700,39110,39932,30460,24214,23865,21676,
负债和所有者权益(或股东权益)总计(万元),58974,53986,63427,49659,48855,48489,42025,		
  
