报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),14995,21737,1164,4172,7256,4638,9665,12710,8202,7807,7790,18448,24242,21490,23909,35520,32858,51066,46535,15528,15686,19012,15105,12242,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,43,--,30,--,--,--,3237,560,1832,265,2220,5297,4976,306,1646,--,--,--,--,--,--,--,--,
应收账款(万元),69477,40764,88050,80331,67873,71194,64175,54303,44421,49161,76340,77799,58525,71968,66291,54728,38811,36365,39523,28791,32386,26651,18190,16645,
预付款项(万元),17859,24258,32451,26575,23208,30942,14810,10988,14570,12247,10503,7333,10229,11430,4186,3090,6423,6394,1208,7563,2916,3324,4604,2508,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,8730,6671,6620,6905,6641,27570,28235,27864,27627,1802,692,456,277,9263,293,412,762,430,334,317,237,314,150,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
