报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,
货币资金(万元),2629110,2284069,2400559,2867068,2721523,2671435,2822696,3104687,3638635,3111920,4300089,5193794,2391019,1864224,1479758,1393992,984365,849792,803792,1046746,884339,878042,745126,798577,1012889,919150,969987,1230529,1547971,1386079,1775390,1871725,1850381,1168358,1029323,997777,1550436,1539218,
结算备付金(万元),508200,450656,370698,559460,562296,984369,576882,693301,648522,946641,877455,1359044,806370,656697,205625,194255,400768,237260,194950,251745,180284,124151,165053,191616,235381,167465,166107,128570,157282,866610,175517,231105,222050,146768,81059,1072696,121509,160600,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
交易性金融资产(万元),4747908,4165181,3254399,3584786,2892077,3721463,2896041,2390143,2312404,2348419,1659638,1545137,1476246,1309978,1350360,1261877,1094736,1076829,1028524,993025,975460,785639,776901,788378,617183,661962,510693,584309,436457,527465,222870,211716,306512,166658,100596,151649,224728,--,
衍生金融资产(万元),454,508,687,1027,1262,1932,1916,2072,2780,3005,2938,3495,542,584,790,1862,4927,10585,3187,1063,18,--,--,--,--,--,--,--,20,--,0,0,0,0,0,0,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收账款(万元),304791,142300,231542,104301,204149,109599,129321,111948,116676,93908,108057,152938,129898,71631,45099,31298,26502,20441,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,8819,0,11051,--,8566,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
应收利息(万元),137587,125632,116269,113914,106873,100012,89324,80675,90735,80725,74623,65930,58271,57078,46966,43576,42136,42700,35926,28753,24792,19451,20260,16911,16704,15029,14931,11856,8846,5584,5721,4413,2600,3927,1281,1141,938,626,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
应收保证金(万元),392197,341848,388518,397916,402862,392027,405936,356718,305084,286959,221833,243015,227013,168766,137824,116073,83527,73012,84941,68866,88121,96226,91757,84510,92754,79307,78816,90018,96297,35190,28618,26631,25446,17159,11517,18015,90695,17279,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
买入返售金融资产(万元),3085746,3316172,3635134,3407098,2793212,2091353,1356435,1351219,1281582,1258811,1329329,1632148,1510107,1231939,974567,779388,633317,503053,344847,86332,74787,12886,28140,18143,13543,49262,7216,16700,--,--,0,0,0,0,400,19407,--,4500,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,62,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,1864251,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
可供出售金融资产(万元),2616560,2414973,2551252,2240087,2116011,1804694,1780411,1644631,1661571,1375821,1173119,573803,448064,437347,379096,340459,263138,165610,145270,81382,110109,111031,82125,84135,78852,77211,81818,95563,93218,114714,61819,43454,43669,19696,16931,25426,40946,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
长期股权投资(万元),26911,26822,26072,25751,25776,26057,16929,15225,10494,10471,10165,10188,4222,4321,4227,38002,35414,35439,28321,28347,28377,28372,24872,24071,24071,24071,20471,17888,17888,17888,1880,1880,1880,2435,2435,2435,2435,3783,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
投资性房地产(万元),24939,25172,25390,24502,16000,16127,4908,4950,4991,5033,5074,4645,5440,6319,6369,6419,6470,6520,6570,6620,6670,6721,6771,6821,6871,6806,7053,7104,202,204,206,209,213,217,221,226,230,--,
固定资产原值(万元),--,88996,--,90220,--,100209,--,111619,--,110835,--,110306,--,105570,--,110613,--,110718,--,109833,--,108286,--,77789,--,76989,--,103850,--,85215,0,83304,81469,0,75028,0,63499,35340,
累计折旧(万元),--,36391,--,37106,--,37072,--,37491,--,35233,--,34817,--,32382,--,35542,--,34488,--,33219,--,30911,--,28622,--,26506,--,27280,--,25634,0,23719,22016,0,21212,0,20908,22326,
固定资产净值(万元),--,52605,--,53114,--,63136,--,74127,--,75603,--,75488,--,73188,--,75071,--,76231,--,76614,--,77374,--,49167,--,50483,--,76570,--,59581,0,59585,59453,0,53816,0,42591,13014,
固定资产减值准备(万元),--,971,--,971,--,971,--,971,--,971,--,971,--,971,--,971,--,971,--,971,--,971,--,971,--,1096,--,1096,--,1096,0,1096,1096,0,1096,0,1416,1096,
固定资产(万元),51102,51635,50977,52143,61123,62165,72749,73156,73716,74632,73942,74517,72497,72217,73782,74100,74450,75260,74725,75643,76173,76403,47456,48196,48540,49387,75216,75474,70261,58485,58296,58489,58357,36569,52720,14620,41175,11918,
在建工程(万元),5,--,--,--,--,--,--,--,--,--,--,--,--,42,--,--,137,--,--,2,19,328,26727,26252,25777,25303,--,--,--,--,0,0,0,17415,0,38459,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,--,--,
