报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),146345,158376,149143,159468,140671,140770,153420,173223,130905,220265,79820,92819,91901,152718,76337,85044,61155,39489,37601,61053,58362,32598,55634,79485,77714,51086,46983,72264,54129,53246,69085,55154,43594,39507,49592,49508,57599,13659,20065,15523,22117,21395,21877,24202,24820,17806,23960,4158,6303,5472,2850,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,30,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
应收票据(万元),486,881,718,327,348,623,809,281,222,610,149,76,178,358,638,666,392,2920,516,379,387,183,147,455,601,194,280,404,3460,3380,240,247,115,50,--,60,40,50,--,0,--,4,4,5,7,--,0,52,0,0,--,
应收账款(万元),59416,49965,67475,69053,38677,38630,61399,54459,53649,45975,61552,68968,50963,43299,32784,20456,21626,21235,23064,28903,27261,27259,17908,14324,12580,16419,10490,7875,7278,7556,11019,10643,11451,10733,10232,9725,7385,3946,4951,4594,3226,3033,3743,3196,2466,2195,3785,3794,3254,1340,1491,
预付款项(万元),26623,23549,40225,43906,22662,20908,21611,18307,30180,20616,46966,35957,26526,27232,24678,30702,16408,23788,37908,32896,37448,37972,35556,30274,42946,23934,28542,29066,27835,26065,28744,41582,40663,40999,30930,28282,16978,16705,13668,11381,7533,5387,8304,9156,11333,9500,5291,4316,2854,4578,2883,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,769,769,1111,1111,966,966,--,--,--,--,140,140,140,140,140,140,140,140,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
其他应收款(万元),--,32978,34902,34997,26803,34082,25554,22642,23667,19528,22099,31789,31432,30749,29749,14259,16819,15550,15242,18068,16602,16644,21602,20509,23161,20081,17441,11575,14799,14979,10403,7798,10850,10069,10159,11227,14138,14119,8331,3466,1986,1402,1878,1821,1569,912,1734,1892,1544,2146,6941,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
存货(万元),416780,423357,368448,357646,327738,332885,347315,327933,241757,207550,141668,158083,161746,150544,157360,146881,147037,145719,144292,135825,136469,132304,111296,117439,112090,105002,109354,92997,90405,79412,89448,89751,82247,71461,60206,58575,58295,53576,42320,38625,31629,23498,30717,28671,32507,28061,20969,20848,18321,14623,8156,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
其他流动资产(万元),12589,9649,6720,7630,8761,6142,5877,6239,4746,3725,2704,3817,3824,3177,3272,4651,3208,3656,1709,1707,2723,1864,1828,2020,3571,2601,1560,1190,874,996,705,712,1007,536,716,592,671,583,340,234,152,129,285,145,317,97,186,173,67,78,9,
流动资产合计(万元),692389,698754,667631,673029,565660,574039,615985,603084,485896,519038,356070,392621,367536,409043,324818,302659,266644,252358,260473,278972,279392,248964,244112,264646,272804,219459,214651,215370,198779,185634,209644,205886,189927,173354,161835,157969,155107,102639,89676,73822,66644,54849,66807,67196,73018,58572,55925,35233,32344,28237,22361,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
可供出售金融资产(万元),--,2697,3035,3035,3035,3035,2935,2935,2835,2835,2292,2292,2292,2292,2322,2322,2322,2322,2170,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,0,0,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
长期股权投资(万元),13276,13276,13509,13509,14491,14491,29327,13927,12572,12572,10807,10807,9511,8676,8955,8511,8741,8741,2713,5220,5670,6440,5115,5229,5112,5712,4386,5879,6204,6254,1422,1015,1015,1011,1734,2045,1020,1001,2420,55,--,--,--,--,--,--,0,0,0,0,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,--,
固定资产原值(万元),--,139537,--,870526,--,829826,--,643981,--,612056,--,565757,--,531850,--,386662,--,366858,--,287934,--,260508,--,176854,--,157057,--,120568,--,108557,--,96293,--,93648,--,69410,--,62174,--,36949,--,30878,--,21139,--,17186,--,0,12265,0,--,
累计折旧(万元),--,215645,--,187178,--,163195,--,140330,--,120112,--,103257,--,86561,--,73783,--,61609,--,51624,--,42573,--,34735,--,29377,--,23746,--,20554,--,17963,--,14782,--,13076,--,10944,--,7641,--,5381,--,4457,--,3742,--,0,2539,0,--,
