报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),23325,102843,54578,76008,57945,32614,30326,28749,23593,23285,24837,21736,17528,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),400,47,550,601,61,797,--,486,--,--,157,--,--,
应收账款(万元),7473,7935,8561,7543,6155,7180,6750,5210,5046,3681,1091,763,670,
预付款项(万元),1364,832,1033,684,2241,2383,1901,1637,1814,593,1122,436,885,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),256,208,196,36,355,183,190,36,243,26,58,106,168,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),4681,4401,4455,5048,5955,5138,4230,3901,3719,3507,2727,2416,1831,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),79000,13,50000,10000,20000,--,--,--,--,--,--,--,--,
流动资产合计(万元),116500,116278,119373,99920,92712,48296,43396,40019,34416,31092,29992,25458,21083,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,30549,--,29886,--,--,27533,27372,--,9831,--,--,--,
累计折旧(万元),--,3843,--,3112,--,--,2350,2004,--,1170,--,--,--,
固定资产净值(万元),--,26707,--,26775,--,--,25183,25368,--,8661,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),27390,26707,26787,26775,25519,25537,25183,25368,15813,8661,921,905,852,
在建工程(万元),681,666,622,558,795,896,938,649,6616,11467,12582,5728,621,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),1690,1696,1706,1714,1732,1731,1747,1747,1699,1672,1614,1647,1659,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),1699,701,701,701,701,701,701,701,701,701,701,--,--,
长期待摊费用(万元),145,80,83,85,272,275,287,302,234,259,341,405,396,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),104,96,106,110,104,96,95,82,106,48,21,16,12,
其他非流动资产(万元),9389,5779,82,124,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),41098,35725,30087,30067,29122,29237,28950,28849,25171,22809,16180,8700,3541,
资产总计(万元),157598,152003,149460,129987,121834,77534,72347,68867,59586,53901,46173,34158,24624,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),2392,2207,2003,1995,2138,2452,2202,2841,1055,979,588,651,464,
预收账款(万元),165,138,21,103,34,44,44,10,6,15,5,25,20,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
