报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),254735,138473,184401,165038,140134,154747,108011,60919,57439,68398,66191,70603,33628,32396,36215,37465,32933,35262,40009,46882,48162,47683,48624,54483,56973,54248,52047,53795,54718,51051,4270,6016,3561,2864,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),80,--,--,--,39,--,--,--,--,225,104,103,100,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),183588,71218,57170,148154,183911,25570,44453,7846,7678,11655,11416,14822,15151,17249,11422,9902,15713,12441,4794,4997,1727,1938,2761,2436,2327,740,976,655,850,497,458,133,268,189,
应收账款(万元),149637,124501,158730,155503,127347,141625,82978,21804,28670,31325,21137,23638,28200,20030,17225,17673,21457,12008,25387,32909,5678,5371,5004,4204,3030,5403,5013,4488,2823,4372,2361,1876,2124,1901,
预付款项(万元),3972,5254,3923,3682,2599,4220,3815,1914,1214,1834,3420,2100,1212,1905,3443,645,694,2914,4633,2057,382,6371,5435,3450,1171,1355,806,1351,719,1240,900,2966,592,18,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),789,--,1264,764,927,1087,890,306,1666,1344,1362,1080,944,762,697,541,480,365,86,128,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,10652,5933,2560,3980,6063,5469,50580,7061,1792,2036,1871,1551,2489,2242,2477,3611,1669,1823,1229,576,520,440,332,225,525,220,337,229,392,580,278,509,187,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
