报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),54562,73822,74626,82574,87985,85410,78936,83742,52391,65698,55254,86153,96984,44676,49445,35185,36334,39138,37184,34450,34991,39815,36188,38960,40791,48347,51754,51809,18715,21904,17240,14583,14091,10125,10495,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,92588,62400,49904,37464,57836,56250,48015,50499,35387,36655,35431,36637,26717,19313,20676,12671,17899,14911,13240,21228,19720,15278,13890,13729,16714,16241,15524,11004,10947,3706,1911,914,1038,1545,
应收账款(万元),--,74323,102567,112567,124964,111071,117759,107547,110463,101442,89429,84460,52510,52515,52495,50707,45174,45643,40551,36200,28867,36886,30972,24251,22526,21234,22915,18885,19179,18281,15215,13679,12390,11412,6269,
预付款项(万元),12830,3014,14426,11058,9937,3796,7168,2817,7623,6193,15698,5499,4797,2225,5322,3564,4924,2259,13155,10434,9534,3668,4735,3405,8011,4625,1988,825,1340,2492,613,700,2081,342,694,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,14645,6615,5031,1361,853,4683,681,6418,2764,757,777,1012,749,1191,492,233,197,209,112,126,105,173,101,110,97,146,93,236,97,544,744,585,3161,170,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),39115,18552,48543,55105,42822,42932,33725,34838,41393,36915,36066,22803,31946,19568,25430,27131,29034,19642,20227,21022,15707,12027,14435,15487,14330,12059,13902,11443,9489,9783,6452,5858,5390,2030,2689,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),1000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他流动资产(万元),2605,2880,1996,2255,2271,1494,1802,2576,2691,6862,14678,1323,1564,2211,1304,1168,1368,1218,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
流动资产合计(万元),270048,280824,311174,318494,306805,303394,300323,280216,271479,255261,248537,236445,225450,148662,154501,138923,129738,125996,126238,115458,110453,112222,101781,96093,99499,103077,106946,98579,59963,63504,43771,37475,35451,28107,21863,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
可供出售金融资产(万元),9637,9637,9637,9637,9637,9637,9637,9637,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期股权投资(万元),9508,9527,9401,9395,9378,9369,5663,5658,--,--,--,--,--,--,--,--,--,--,2744,2744,2744,2744,2744,2744,2744,2744,2744,344,344,344,344,344,344,323,218,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产原值(万元),--,108514,--,104382,--,103743,--,73876,--,61470,--,50947,--,33711,--,32467,--,31165,--,16937,--,16503,--,15425,--,15028,--,14745,--,13579,12895,10713,10264,--,--,
累计折旧(万元),--,28422,--,32247,--,28442,--,18777,--,14567,--,12743,--,11500,--,10088,--,9156,--,8240,--,7646,--,6687,--,6119,--,5526,--,4980,3947,3538,3148,--,--,
固定资产净值(万元),--,80092,--,72135,--,75301,--,55099,--,46902,--,38204,--,22210,--,22379,--,22009,--,8697,--,8857,--,8738,--,8910,--,9219,--,8599,8948,7175,7116,--,--,
固定资产减值准备(万元),--,3,--,--,--,--,--,408,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,80089,78583,72135,73614,75301,47857,54691,46052,46902,37505,38204,21612,22210,22571,22379,21825,22009,13536,8697,8650,8857,9042,8738,8655,8910,9000,9219,8393,8599,8948,7175,7116,7596,3315,
在建工程(万元),--,2826,6262,11291,9733,8541,19670,13175,11613,11332,20571,19236,31759,31453,24384,24165,22801,21364,19669,19413,15404,11938,10963,8493,6986,6628,5625,3426,3347,3321,2553,3961,2177,723,4046,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
