报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),40128,24345,22232,28600,30397,25828,30768,29977,42526,27225,44089,70015,27187,44485,58658,81016,67694,86705,18622,24674,29207,46962,51123,49101,62347,15442,15137,17945,24987,39899,27475,34888,45915,51850,72602,4255,6282,2849,6000,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收票据(万元),10259,6580,7296,12051,11545,7468,6346,2489,5351,3339,8647,1291,2574,2257,4901,3238,2822,5556,5569,3682,5280,4675,4238,3192,4041,2827,1788,1988,2471,2232,1562,434,724,625,839,504,604,242,94,
应收账款(万元),50883,65445,63385,58207,58054,45403,48204,45961,46238,39018,34867,35659,24929,27458,27789,28914,23714,25733,25272,25926,24909,21586,16941,14518,15466,14276,12582,11936,10896,8423,8054,7510,6476,7767,6888,6813,5596,4807,3527,
预付款项(万元),21122,29954,20244,27532,21566,26098,19800,17564,17184,29150,29637,19063,16264,14365,11818,13175,9007,14028,11890,4432,6977,2435,4288,4440,4307,7233,7413,6509,4961,6590,7548,3510,3619,12287,430,800,355,384,33,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
