报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),210624,204364,191508,219649,195894,177198,185808,209764,180128,197959,171360,189842,158218,156243,127261,130469,131229,154118,166800,163230,161564,197695,194918,203752,198771,140131,87620,101974,82197,140887,101668,94590,93515,98389,67985,88469,67923,70417,46807,48675,66552,78232,19286,20407,13916,31094,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,0,--,--,--,1,--,31,--,3,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,0,0,32,6,0,--,--,10000,10000,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),148701,190315,159761,151839,105300,120494,95921,97614,72493,81086,81608,87208,88590,123619,122052,148315,139821,150448,121007,131690,95783,93263,84168,93552,98464,110083,144651,159131,143106,123947,135069,137371,92376,86899,87209,68683,57391,60794,74811,81872,69944,69995,64957,66988,40252,46434,
应收账款(万元),95108,25353,78513,35730,71116,20720,49991,29558,55297,17242,56408,25566,52688,16367,57093,42978,63896,26165,55550,41225,53234,15801,56517,41137,66090,21781,54876,49668,67579,22046,52970,34939,57408,21747,51279,36447,45861,21940,57710,33249,50192,26558,52041,40735,58957,25478,
预付款项(万元),1024,649,323,1862,1818,1774,384,324,478,143,261,231,457,255,446,450,525,216,335,579,378,229,290,314,304,174,569,360,591,106,189,329,261,219,630,867,1798,3686,4034,3231,4588,3414,3787,3072,2799,2305,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),249,249,289,75,105,545,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,10031,--,--,--,6760,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,72,72,
其他应收款(万元),1226,1086,1188,1002,1027,877,1152,1065,277,23,248,232,255,41,310,320,358,466,353,356,339,183,560,425,480,243,604,516,442,297,766,625,738,671,2460,2487,1207,516,1633,1761,2897,1097,6894,7949,7380,6485,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
