报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),16918,18127,18195,21315,5032,21261,6595,9212,7061,9041,8498,4056,
结算备付金(万元),--,--,--,--,0,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,0,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,
应收票据(万元),1605,895,857,1456,770,879,407,1921,1572,1480,1785,50,
应收账款(万元),30644,33945,28315,35668,27568,26563,22757,26148,26495,24116,18947,12605,
预付款项(万元),4605,3842,2190,1177,3963,1616,1741,609,378,951,557,1299,
应收保费(万元),--,--,--,--,0,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,0,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,0,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,0,0,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,0,0,--,--,--,--,--,--,--,
其他应收款(万元),1183,1175,976,711,618,1003,825,609,526,602,598,850,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,
存货(万元),19359,14329,10454,7094,10257,8708,7946,5697,6323,9755,10528,3967,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,
其他流动资产(万元),773,1263,5031,3924,10090,328,--,--,--,--,--,--,
流动资产合计(万元),75087,73577,66017,71345,58297,60358,40271,44196,42354,45945,40913,22827,
发放贷款及垫款(万元),--,--,--,--,0,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,0,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,0,--,--,--,--,--,--,--,
长期股权投资(万元),210,213,206,210,216,227,206,207,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),355,365,374,383,392,402,--,--,--,--,--,--,
固定资产原值(万元),--,2702,--,2500,--,1288,2023,2009,1817,1733,1473,1780,
累计折旧(万元),--,1062,--,956,--,836,1166,1102,928,745,649,838,
固定资产净值(万元),--,1641,--,1544,--,451,857,908,889,988,824,941,
固定资产减值准备(万元),--,2,--,2,--,2,2,2,2,--,--,--,
固定资产(万元),1723,1639,1496,1541,438,449,855,906,887,986,822,941,
在建工程(万元),0,--,129,129,0,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,0,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,0,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,
无形资产(万元),767,827,529,571,473,274,298,321,456,392,169,219,
开发支出(万元),--,--,--,--,0,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,0,--,--,--,--,--,--,--,
长期待摊费用(万元),196,270,278,279,207,233,188,159,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),796,834,1080,931,771,764,922,815,775,603,407,257,
其他非流动资产(万元),746,--,--,--,0,--,--,--,--,--,--,--,
非流动资产合计(万元),4794,4147,4091,4044,2497,2349,2469,2408,2118,1981,1398,1417,
资产总计(万元),79881,77724,70109,75389,60794,62707,42740,46604,44472,47926,42310,24244,
短期借款(万元),4386,4637,4337,2500,2535,5060,3760,5360,5500,6400,4000,4964,
