报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),89910,54705,79705,70295,71345,58200,63410,75475,72917,70162,83509,81299,99568,90239,80296,74946,87636,81663,81037,73783,81344,81401,83190,83585,86498,84168,83624,77258,85568,79697,79365,76168,81826,83291,85357,84563,87266,101406,3074,652,2991,1131,574,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),37491,8428,10776,12087,11755,10338,3792,2312,4404,4158,2003,2768,2597,2372,2720,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),31363,26277,23090,30592,34390,26847,21011,25967,21792,21084,23907,24484,21978,21622,19575,20804,17182,16873,14573,15943,17153,14804,14524,13168,13453,13498,14890,10077,12461,11319,10175,7033,5929,4948,4078,4998,5139,3616,2455,807,584,658,904,
应收账款(万元),49912,47298,46465,52603,54068,43412,52069,56086,49434,42340,51860,54925,53260,43291,58222,66027,52975,35786,42061,38766,31167,26734,30490,26343,22849,20023,21095,20232,20876,19590,17198,17662,17313,14562,12473,9229,8721,8182,9845,10516,9446,7012,5196,
预付款项(万元),3910,1791,9146,3656,4404,2879,9487,4904,6683,1422,6690,4683,3515,2736,8043,7504,7504,6432,939,1099,7894,2044,9123,8139,11376,7080,5116,4619,4855,3867,6865,6161,6677,5502,3057,558,2858,2674,7966,1849,1610,292,80,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,0,
