报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),50890,30059,26946,28590,25651,33628,52060,50386,46017,39002,30506,39504,44586,34498,24338,26073,31335,42113,19527,18783,17935,20760,10939,7641,5249,
结算备付金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,0,0,0,82,82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),485,167,232,134,679,89,204,--,60,50,40,156,50,28,78,28,69,50,--,--,12,300,13,--,--,
应收账款(万元),56856,52763,52837,45213,46723,29824,29532,29108,33290,32896,31469,25515,21156,18538,17272,16631,15304,11974,15082,13133,9707,7004,3134,604,170,
预付款项(万元),1908,1805,1355,2138,1074,965,819,1226,1013,1931,1117,2619,602,1667,2393,5992,187,3232,2856,629,501,396,756,428,224,
应收保费(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),16,--,10,16,10,104,72,77,20,16,15,4,39,72,56,32,52,135,74,59,118,85,52,--,--,
应收股利(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,4963,3951,4337,4916,2660,2773,2653,4630,1914,2968,3146,2273,1873,3390,2689,1590,1880,1867,1186,1297,1509,585,482,621,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),37001,41701,38547,32590,27334,33174,26651,24149,18448,20577,21751,22407,16536,19308,16634,15393,13923,14620,11430,11482,9523,8332,6043,4671,3311,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1868,10669,6896,2212,12078,23192,4345,7601,6727,1078,6763,2695,4195,10000,20000,21000,29205,14500,6500,4000,10500,--,--,--,1000,
流动资产合计(万元),149726,142126,130773,115229,118466,123636,116457,115282,110287,97464,94627,96047,89437,85985,84162,87837,91665,88506,57337,49273,49593,38387,21521,13825,10575,
发放贷款及垫款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),2740,2740,2740,2740,2740,1220,1220,1220,1220,1220,2220,2220,1000,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,1475,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),10829,10971,11113,11255,11397,11539,11681,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),56116,--,50953,--,46348,--,44796,--,52938,--,38485,--,37936,--,22227,--,22611,--,--,6147,5944,5687,--,--,--,
累计折旧(万元),16503,--,14065,--,11766,--,9655,--,7853,--,6266,--,4910,--,1773,--,2835,--,--,2196,2014,1399,--,--,--,
固定资产净值(万元),39613,--,36888,--,34582,--,35141,--,45086,--,32218,--,33026,--,20454,--,19776,--,--,3952,3930,4288,--,--,--,
固定资产减值准备(万元),2,--,7,--,7,--,7,--,7,--,32,--,32,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),39611,36797,36881,34019,34575,34596,35134,46201,45079,31661,32190,33190,32994,21798,20454,17527,19776,4001,3815,3952,3930,4288,2572,2299,1191,
在建工程(万元),--,3712,3850,3493,3965,1208,1155,1988,938,1543,1315,1290,1303,2350,1593,1042,1124,11591,11336,10281,9215,861,67,--,--,
工程物资(万元),--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),58,--,--,5,--,0,0,1,--,--,--,--,--,--,--,17,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),3507,3298,3298,3327,3343,3259,3235,3255,3257,3264,3171,2982,2907,2901,2925,2954,2973,2978,2996,3020,3022,3010,3035,33,19,
开发支出(万元),--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,0,--,0,890,1340,1340,1340,1725,1725,1725,1725,1773,1837,1837,--,--,--,--,--,--,--,--,--,
