报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),11060,8466,18932,19283,19526,6852,10785,9049,14490,3071,6445,1676,3301,3664,4438,2076,3444,1625,2975,5104,3623,1075,1207,10927,8547,4300,763,1382,588,342,2362,3586,622,2432,436,184,256,383,6948,10312,27420,28367,1567,3603,4085,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,172,190,207,198,179,176,224,244,221,250,194,169,224,267,369,510,327,0,0,0,
衍生金融资产(万元),--,--,--,--,4927,5341,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,0,0,0,--,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,
应收账款(万元),--,32,16,--,--,--,6,6,15,4,4,4,44,57,57,4087,4087,63,95,391,391,--,--,--,0,0,0,2,339,1,1,157,1,232,240,1163,247,702,820,1099,249,10285,11120,5850,1173,
预付款项(万元),--,--,--,3,1054,10441,154,50,14,6200,7912,5420,3494,16816,14014,5105,3028,23929,21003,18559,21973,20780,17767,29115,23297,21118,17641,16776,14664,23769,17609,5849,4780,3500,500,500,500,15043,9033,8921,8925,11405,11512,9155,9609,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
应收利息(万元),915,133,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,
其他应收款(万元),313,1938,2939,7306,9676,45815,2383,3244,2055,2793,2190,53474,23263,3278,3264,147,621,785,667,1875,1077,7344,6830,1161,13111,1093,1514,1934,1759,1418,1318,1422,1094,1217,1385,1858,1630,1787,6308,7466,7228,8992,8463,11563,8911,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,0,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,0,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,0,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,0,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
存货(万元),--,1270,3107,5810,10103,12175,110283,106597,116380,115388,112358,104870,103886,81933,80838,80622,82116,65983,60884,61240,55054,62650,61374,40458,37793,61665,58342,54916,50765,41593,40976,40246,40183,48106,56543,56590,58283,51229,51132,50929,53922,51895,54123,59894,67230,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,0,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,0,0,0,--,--,0,
一年内到期的非流动资产(万元),2168,2169,1241,1100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,
其他流动资产(万元),46623,24608,457,896,590,1,6354,6326,2273,2948,2832,2085,2200,2390,1925,1231,1177,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,
流动资产合计(万元),61079,38616,26691,34397,45876,80626,129965,125273,135226,130404,131741,167530,136188,108138,104535,93269,94473,92385,85624,87170,82118,91848,87178,81661,82748,88348,78450,75217,68312,67301,62441,51483,46923,55708,59355,60489,61085,69368,74509,79096,98255,111271,86786,90064,91008,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,0,0,0,0,--,0,
可供出售金融资产(万元),--,--,--,--,--,5525,--,--,--,1789,1789,1789,1789,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
