报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),148626,166829,152307,214513,180379,190364,141419,167434,138200,151716,214998,60312,73343,60251,51331,65904,52843,66520,37850,25440,22887,24798,30283,36012,41416,45340,49149,51331,51658,57765,62728,62920,65543,73988,7354,8335,7112,3985,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3000,4000,--,--,--,--,--,--,--,0,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收票据(万元),11591,13800,14478,17419,13417,16566,18090,15853,15418,13794,18033,14568,11970,15447,11317,13182,8142,7340,11269,8975,8490,8382,9262,10519,7083,6326,7192,7404,4191,3934,4103,3911,2472,3142,2489,3546,1933,1225,
应收账款(万元),293697,290070,260846,240660,252332,240820,241719,220316,219493,191388,143654,147058,145440,137929,110639,105809,103548,81149,63859,18725,17878,15685,15006,15087,14595,13206,12102,12128,11574,11154,10615,9959,10510,8790,9603,8378,7208,7668,
预付款项(万元),39661,52262,41201,36839,43228,40348,40405,31291,54150,58450,54070,50038,49486,41506,42734,42596,39194,34914,26141,8352,8838,8114,8725,8513,8561,5748,5624,5999,5709,6017,5307,5361,6228,4760,4824,4134,5008,5351,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,195,111,66,134,162,162,--,--,--,--,--,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
