报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),6939392,6281112,8572224,8367912,7276762,8332851,6838033,6271544,6254551,6025792,5734732,4911870,4459254,3759059,3963840,3976442,3660539,2981219,2877663,2932966,3000858,2708050,2917805,3015129,3250525,3291245,3098483,1960495,1652821,1320892,1605944,1338137,1258362,1125409,1114265,686163,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
交易性金融资产(万元),708,700,691,701,669,670,680,576,634,816,592,890,1002,768,600,560,529,1042,1338,882,703,660,586,581,730,1387,1235,702,939,1375,1497,1497,--,--,0,0,
衍生金融资产(万元),1086,470,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
应收票据(万元),300104,270997,146936,141599,241549,234594,143163,133223,158348,158527,139780,120193,84035,86356,57877,64198,106829,89440,76786,70038,57932,67667,46566,39943,49208,51016,36624,34202,39504,32686,20560,23338,25371,13544,16099,18986,
应收账款(万元),4909724,4440496,4776627,4637832,4225679,3648334,3973830,3731124,3326540,2946714,3009644,3026504,2593471,2400240,2598331,2304714,2308770,2123279,2109378,2085179,1913462,1858504,1914122,1762705,1705707,1642721,1819300,1716786,1575043,1556887,1263288,1256371,1305054,1333213,838227,718978,
预付款项(万元),1745747,1549659,2137118,1883317,1367650,1631885,1810198,1985064,1958938,1827654,1800541,1556192,972229,989992,1097952,1027868,869270,882711,749249,739958,634902,700268,788529,773410,756008,664100,825552,878147,641712,604147,834402,645700,301286,660832,476314,325216,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
应收利息(万元),684,686,950,989,534,820,571,658,660,687,219,219,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
应收股利(万元),5898,5872,5473,5494,5408,5408,3188,6724,7488,6625,1244,1280,1451,1252,102,102,102,102,3268,3268,74,74,--,959,959,959,8372,5946,--,1260,--,501,144952,1593,8044,8021,
其他应收款(万元),2838554,2319978,2321614,2265011,2263455,1881327,2341538,1985142,1685506,1481788,1526949,1383316,968297,994112,1154441,933038,876577,898923,766126,554973,457702,521759,743720,626271,527088,463577,450154,469296,291337,327426,348946,382430,209049,328940,248672,285023,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
存货(万元),12899167,11822400,13151456,12192705,11587873,11131627,11733470,10707308,10361236,9673410,9655478,9198932,8445009,7758726,7989022,7408247,6450549,6170487,5979934,5667207,4380772,3890059,4061117,3758147,3365130,3081902,2922804,2641132,2510375,2366133,2713671,2482313,1972378,1997449,1381834,928458,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
一年内到期的非流动资产(万元),851692,1086058,632670,811692,735099,1199771,628523,788749,881185,1407956,648224,634851,581512,739976,425735,416313,436462,783181,108429,306438,298661,293976,230868,291483,403171,342747,202216,202271,22479,41564,--,--,--,--,0,0,
其他流动资产(万元),877490,1206873,780171,823982,565922,434081,294266,322838,279604,279232,159351,155737,62517,77417,57860,56559,42790,49449,33939,31176,32642,35617,36031,36174,40605,45244,--,--,5034,0,--,--,--,--,0,0,
流动资产合计(万元),31370246,28985301,32525931,31131233,28270601,28501369,27767459,25932949,24914690,23809201,22676755,20989982,18168779,16807899,17345761,16188039,14752417,13979832,12706111,12392086,10777709,10076632,10739344,10304801,10099131,9584897,9364740,7908978,6739245,6252371,6788308,6130288,5216451,5460980,4083453,2970845,
发放贷款及垫款(万元),318968,488743,422747,445691,354125,375970,154499,116879,65000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,
可供出售金融资产(万元),272546,281604,277912,264460,272542,205501,190637,168302,169628,188147,190054,185205,64388,64343,45923,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,3328,8750,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,1391,1391,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,8,8,8,8,
长期应收款(万元),5964926,5675506,4970685,4430837,4360356,4249307,4206681,3962498,3777373,3453129,3648882,3435160,2942674,2880826,2211252,1658269,1371562,1219175,1434064,1157913,965263,957279,490582,376031,276654,248127,357223,284238,375091,300797,54694,38534,22548,16508,4468,0,
长期股权投资(万元),1007425,874771,815035,593301,552003,428886,385089,351625,287529,279856,271775,265136,235009,232733,211885,258390,258182,255237,248899,238676,373193,220809,246943,233494,239077,165648,156448,151244,120212,126601,134368,122585,121886,123457,102479,101864,
