报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),18627,12686,19661,19498,19650,17307,16465,18434,39170,10508,8572,12081,9622,15857,13341,14667,14865,25215,34996,11201,--,11348,8219,6370,5375,4166,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,276,668,408,1583,851,1283,0,162,62,98,63,449,416,150,290,531,402,3306,4786,--,397,4296,746,150,--,
应收账款(万元),--,37945,32181,34452,25649,23480,19157,20243,15354,16850,13281,12251,11362,9035,8998,6320,3812,4607,4867,4802,--,3846,1360,2246,809,908,
预付款项(万元),14979,14334,12286,10675,13601,8060,6237,8453,6514,5302,4755,4250,5221,4443,4820,3934,4204,4328,3320,3268,--,4860,10275,4490,3327,509,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1362,1046,1383,1068,778,892,508,832,685,799,1341,785,858,527,349,400,121,129,239,53,--,77,34,30,56,50,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),58499,47608,41913,33971,36714,29370,29365,23649,27875,26499,26918,23238,28840,23122,22792,21034,24832,22550,24548,25747,--,22049,18229,7463,4910,3733,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1589,1251,1645,5244,1128,15282,14253,17388,1231,1274,897,906,6096,3383,14452,20000,20000,13036,373,626,--,--,--,--,--,--,
流动资产合计(万元),130555,115147,109737,105315,99102,95243,87268,88999,90992,61295,55861,53574,62447,56782,64902,66646,68364,70268,71649,50484,--,42579,42413,21344,14627,9366,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),2210,2210,410,410,410,154,154,154,154,154,154,154,154,154,154,154,154,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,154,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),244,248,255,255,446,454,462,470,477,485,493,502,218,222,227,231,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,34322,--,30709,--,30027,--,30399,--,17568,--,17074,--,13242,--,11201,--,9428,--,4280,--,4216,4149,3147,2302,1856,
累计折旧(万元),--,8272,--,6982,--,5812,--,5063,--,4305,--,3481,--,2193,--,1742,--,1542,--,1337,--,1185,997,674,434,263,
固定资产净值(万元),--,26050,--,23727,--,24215,--,25336,--,13263,--,13593,--,11049,--,9459,--,7886,--,2942,--,3031,3152,2473,1867,1593,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),26019,26050,25720,23727,23895,24215,23600,25336,23347,13263,13575,13593,13759,11049,10798,9459,8123,7886,3345,2942,--,3031,3152,2473,1867,1593,
在建工程(万元),943,943,1065,2450,551,405,1068,873,1371,11183,10697,10241,3357,224,224,151,44,--,1851,1851,--,1806,1738,1337,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5862,2698,2700,2726,2730,2750,2766,3858,3959,3863,3873,3815,3825,3371,3395,2288,2300,2316,830,836,--,831,841,849,867,885,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),2037,2037,1370,1370,1370,560,560,560,551,551,241,63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),665,705,685,673,751,720,744,697,453,473,465,470,479,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1392,1400,1451,1467,1489,1380,1259,1268,1144,1118,1050,1028,952,181,159,159,122,128,94,94,--,75,40,15,474,303,
其他非流动资产(万元),4737,4737,391,527,121,120,120,120,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),44109,41029,34047,33605,31765,30758,30732,33337,31456,31090,30549,29865,22745,15201,14957,12442,10743,10484,6119,5723,--,5742,5771,4674,3208,2781,
资产总计(万元),174665,156176,143784,138920,130867,126000,118000,122336,122448,92385,86411,83439,85192,71984,79858,79088,79108,80751,77768,56206,49144,48321,48184,26018,17835,12146,
短期借款(万元),29871,21698,6161,3255,2005,4,4003,63,5362,5378,3525,3500,1500,--,--,0,--,--,--,4878,--,--,1006,2607,1000,1000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,12813,9550,9677,10604,5950,6444,5495,4305,4450,4818,3805,4811,3138,3412,4234,4479,4317,1052,1361,--,1172,1672,1113,1028,284,
预收账款(万元),20255,14027,14459,10357,16441,13976,5268,5538,8949,9098,7411,6015,13654,8642,10790,10874,14580,13849,19299,16752,--,18322,21558,8826,5908,4542,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1232,1175,1112,1908,900,891,867,1408,786,756,750,1136,675,565,561,917,676,650,395,822,--,514,622,320,213,195,
应交税费(万元),553,899,693,4316,297,671,133,2486,269,860,368,1037,294,565,496,945,243,869,332,549,--,1250,1252,-110,475,47,
应付利息(万元),--,9,6,4,--,--,--,0,12,12,6,6,9,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,5228,--,--,--,--,--,0,0,3864,--,0,0,--,--,0,--,2476,--,--,--,--,--,--,--,699,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),402,442,333,456,178,320,498,425,272,274,204,352,542,21,35,18,52,4,5,12,--,--,2,0,0,5,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),92,88,89,90,123,122,116,115,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),67458,56379,32453,30063,30547,21932,17329,15530,19955,24693,17082,15850,21485,12932,15295,16987,20031,22166,21083,24374,--,21258,26111,12756,8625,6772,
长期借款(万元),5096,797,652,94,116,106,129,172,1550,1550,425,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,133,--,--,--,--,--,--,400,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),478,466,507,547,605,629,670,711,752,793,834,839,625,102,107,112,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,117,123,--,133,--,144,154,335,571,--,
非流动负债合计(万元),5574,1263,1159,642,721,735,799,883,2302,2343,1258,839,625,102,107,112,117,123,133,133,--,144,154,335,571,400,
负债合计(万元),73032,57642,33612,30705,31268,22667,18128,16414,22257,27036,18340,16690,22110,13033,15402,17099,20148,22288,21216,24507,--,21402,26265,13091,9196,7172,
实收资本(或股本)(万元),56415,56415,31342,31323,31294,12518,12517,12516,12509,11712,11712,11712,11712,11712,5324,5324,5324,5324,5324,4600,--,4600,4600,4600,4600,4600,
资本公积(万元),8752,8519,33259,32904,32370,51020,50830,50755,50487,17569,17341,17341,17341,17341,23729,23729,23729,23729,22619,232,--,232,232,232,232,232,
减:库存股(万元),--,--,--,--,--,7500,7500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),1008,983,940,889,857,823,776,737,671,632,592,566,530,493,456,419,380,342,303,265,--,195,125,--,--,--,
盈余公积(万元),7213,7213,7213,7213,5820,5820,5820,5820,4767,4767,4767,4767,3765,3765,3765,3765,2891,2891,2891,2891,--,1909,1909,1016,395,19,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
