报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),144522,124600,138556,126406,112453,127870,121960,145801,87598,61152,79000,55175,45966,61248,72369,101722,91806,35098,46829,67907,54809,62086,69766,39051,37163,30741,30968,36955,13062,21262,18576,18178,21475,26409,18868,20420,26828,25033,21976,20399,11268,9636,13345,11540,13811,12325,11781,13229,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,124,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收票据(万元),997,537,157,20,--,--,--,--,--,--,--,--,--,1689,4544,8168,7667,12586,8853,17905,13266,12944,18823,24427,380,941,3204,3181,1604,840,475,350,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收账款(万元),10411,10177,9546,10194,6347,8974,8898,7808,7391,7162,5819,21197,10422,9892,12231,7111,9578,13025,13879,7499,17366,19177,28424,18924,36025,19656,17277,20817,14113,9100,4263,4912,3805,3590,4223,3626,4994,2107,2722,2281,1833,1943,3280,1553,1599,1376,1542,1754,
预付款项(万元),11376,11366,8330,5002,6758,4982,7939,6327,18030,18782,25509,24966,25636,45510,38289,47745,46656,71830,62829,45890,30689,21599,20368,15369,16963,35538,15781,8944,22768,15393,18129,18263,6051,3807,16058,17931,7939,6000,6209,6843,1041,421,1841,1628,1162,1634,856,1169,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
