报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),1376447,1505587,2303876,1350103,
结算备付金(万元),394235,392682,568905,348448,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),782140,365408,404401,191492,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),--,--,--,--,
应收账款(万元),865,10716,24925,16766,
预付款项(万元),--,--,--,--,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),50558,37039,25390,13640,
应收股利(万元),--,--,--,--,
其他应收款(万元),--,--,--,--,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),79231,10055,17961,37884,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),503165,424553,52451,31358,
存货(万元),--,--,--,--,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),--,--,--,--,
流动资产合计(万元),--,--,--,--,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),553045,617744,518167,122650,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),2548,154175,214510,204710,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),83556,--,--,--,
累计折旧(万元),41083,--,--,--,
固定资产净值(万元),42473,--,--,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),42473,42768,--,--,
在建工程(万元),17688,17688,27376,15220,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),4014,3482,2707,2734,
开发支出(万元),--,--,--,--,
商誉(万元),1370,--,--,--,
长期待摊费用(万元),--,1965,2450,3473,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),15774,11461,17083,16406,
其他非流动资产(万元),17296,2426,1979,1714,
非流动资产合计(万元),--,--,--,--,
资产总计(万元),4713482,4540651,5385410,3341731,
短期借款(万元),--,--,--,--,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),15000,--,--,142400,
交易性金融负债(万元),15521,44323,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),--,--,--,--,
应付账款(万元),2506,7728,48633,15793,
预收账款(万元),--,--,--,--,
卖出回购金融资产款(万元),838370,251737,365148,489505,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),36050,34970,63412,59786,
应交税费(万元),4309,7725,47826,28165,
应付利息(万元),11434,41645,47035,4351,
应付股利(万元),--,7404,2544,2614,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),--,--,--,--,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),1516920,1576666,2391863,1559090,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),--,--,--,--,
长期借款(万元),--,--,--,--,
应付债券(万元),459368,1375636,1310000,210000,
长期应付款(万元),--,--,--,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,4938,
长期递延收益(万元),--,--,--,--,
递延所得税负债(万元),2524,1828,2211,4019,
其他非流动负债(万元),60412,4008,2904,2897,
非流动负债合计(万元),--,--,--,--,
负债合计(万元),3460548,3353670,4281576,2523557,
实收资本(或股本)(万元),210000,210000,210000,210000,
资本公积(万元),377665,382903,384298,380705,
减:库存股(万元),--,--,--,--,
专项储备(万元),--,--,--,--,
盈余公积(万元),56297,51273,40819,12613,
一般风险准备(万元),214901,101946,91491,63285,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),381335,338914,285734,88288,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),1242306,1186981,1103833,818175,
少数股东权益(万元),10628,--,--,--,
所有者权益(或股东权益)合计(万元),1252934,1186981,1103833,818175,
负债和所有者权益(或股东权益)总计(万元),4713482,4540651,5385410,3341731,		
  
