报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),22010,26315,23282,17645,17829,29926,22403,47937,44105,28692,26592,27783,27208,38577,40491,47789,76608,32981,47261,34919,33974,39688,36195,34675,34741,29209,26388,28817,27918,37124,35906,40521,39936,49223,49625,30810,24752,30063,28768,18902,19345,24717,20580,25181,23436,24241,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,136,267,2249,5557,767,1625,1625,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
应收票据(万元),18652,25646,22210,23997,22359,28928,19165,19358,23614,30599,18560,17632,22722,29874,21035,21343,21263,22906,15135,16379,18384,22651,16876,15192,19116,29847,11201,15343,12072,17671,8703,7635,5207,10572,8627,8919,6119,7038,4754,4201,4830,6850,4628,3899,2271,4259,
应收账款(万元),28717,14240,29797,26657,25903,12761,28738,24965,23696,13551,28594,26961,24795,15592,29672,27119,26048,15643,30027,30275,28442,15337,28725,31411,29771,12917,29804,27075,31182,10500,28583,27662,27134,9359,20058,16877,21177,9660,23343,23901,21342,11599,20238,18950,19819,8920,
预付款项(万元),9739,11523,10730,7470,10377,11747,5389,4156,4211,4639,4248,2958,6035,6345,5071,6114,7805,13107,10239,7103,9424,10536,11095,12042,8337,7786,11291,15616,10213,13407,9609,6791,9807,10103,10696,9317,9329,13201,9524,11756,12978,15793,12481,9994,12400,11393,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
应收利息(万元),12,48,35,113,52,92,--,95,101,122,180,597,867,677,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,63,63,63,63,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
其他应收款(万元),469,341,750,599,519,368,619,505,547,352,696,743,739,603,889,903,1005,994,1225,888,1024,437,663,732,355,225,521,458,742,378,622,820,1093,480,603,604,357,373,1758,1675,1671,1372,1636,1633,1833,1689,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
存货(万元),49742,45966,43776,40882,42394,36553,34528,32980,34444,32702,34536,38094,39509,43376,46184,49600,48446,50743,46717,46073,47575,45717,39600,43395,40086,45449,49378,45989,44825,44146,34535,39376,37281,37888,30819,29298,25003,32519,37208,39454,31877,31772,25554,28156,26894,26019,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
其他流动资产(万元),8853,9192,4637,14681,18918,12822,17734,1840,9474,22733,26164,28896,29353,29258,300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
流动资产合计(万元),138194,133272,135218,132045,138352,133198,128576,131837,140192,133391,139571,143665,151228,164303,143643,152869,181176,136373,150667,135698,138885,134427,133154,137448,132405,125434,128583,133299,126953,123227,117958,122806,120459,117625,120427,95824,86736,92853,105356,100024,92311,94353,90676,88580,88277,78148,
