报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),17829,12947,16974,8872,4249,3885,12273,23508,28768,22458,23495,19123,6445,68436,11662,12132,25849,15143,15688,22627,29150,61933,12683,29016,13307,16240,60295,18376,11224,21445,27632,27702,34529,26698,14844,18694,23850,23063,15103,14101,12703,19740,16236,31685,36432,53007,61006,8166,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,--,--,0,
交易性金融资产(万元),--,3052,--,1245,--,--,--,6703,--,--,--,--,--,53,24,--,4,135,189,223,269,274,296,258,--,20,111,194,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收票据(万元),6016,12397,6875,6704,12011,6120,5104,4549,5109,7873,7252,7577,6384,7532,5226,3914,2644,7066,2068,5919,3850,5892,4669,4723,6464,9007,8666,6941,10273,6304,4154,4097,3003,2519,2519,1488,2552,1462,1325,1268,1115,1166,1115,1082,1035,992,760,930,
应收账款(万元),80483,68767,72328,66327,65238,62947,52161,54722,56048,58561,61338,59911,59692,61677,60799,60444,59264,103911,89729,75358,81789,63389,55387,67724,61586,62841,55711,57661,70720,72242,63709,57138,55926,58256,48579,40010,32941,37933,29525,26165,27942,32336,20150,20782,19535,22690,17682,17778,
预付款项(万元),40708,25050,30422,30735,25979,18334,25532,21515,19122,11393,14526,9277,9721,9536,22801,8134,11843,14077,19066,21344,15966,16623,19413,21527,18576,13720,18434,24032,21528,26375,30584,26783,29530,21610,23824,27231,22020,19173,15540,12706,19627,25896,26371,20627,10576,14155,16488,7505,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,0,--,--,--,0,
