报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),128549,130501,89556,89619,96115,96179,129243,123964,110901,120183,88092,77845,73594,119336,98121,62820,47940,107115,34905,38578,39073,82992,73449,69720,116298,126270,132377,128165,146215,145352,138948,145038,145382,153832,156912,178444,6593,8797,4229,4140,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),10196,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35440,27000,24000,20000,20000,8000,18300,20000,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),304,591,1514,2305,4233,1946,3322,5233,5425,6913,3371,4037,3803,3786,2164,1140,870,1230,1163,751,260,1808,547,249,270,504,624,42,129,288,--,444,182,30,157,0,87,30,20,267,
应收账款(万元),65737,75216,75242,73606,56914,42754,26865,17725,17132,17450,13847,8224,9151,9773,11375,15357,11937,10805,13037,22470,11485,11133,16021,15582,7855,4357,3841,3101,636,319,931,1381,2353,1822,6,0,72,72,0,31,
预付款项(万元),4913,3669,4750,3215,4572,3191,10801,6504,10563,7930,19384,15171,20076,11894,20158,16557,12204,11457,10612,8234,13413,11782,16287,16576,16688,32365,22579,19046,19859,20004,27085,20130,16750,14854,16237,7101,7903,7197,4652,2699,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),853,1077,--,628,408,378,208,679,513,369,294,177,54,21,2,--,22,47,--,--,242,272,--,--,268,402,--,--,--,2025,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),--,23356,32990,36837,11020,7999,8938,9159,17637,15821,12331,12743,29983,28882,8088,6481,10969,5363,7627,7801,7281,5701,7630,9359,7715,12037,9724,9664,7978,6700,7493,7307,8350,7680,10708,8628,6030,4687,5576,2658,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),47107,44633,46226,47992,49075,46931,34703,31357,28467,27126,30885,33750,31021,27236,25846,22707,24370,16345,18182,18965,17918,12058,13404,12584,9951,6754,8400,6608,7311,7247,7488,6629,5747,5326,4133,3042,4057,2357,1994,1478,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,713,728,742,734,685,786,839,776,655,560,696,134,975,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),1993,2563,3740,2810,2217,3601,4890,8664,3378,4664,6518,5626,3649,4079,3374,4978,936,928,23175,19354,--,--,--,--,--,--,--,--,--,--,21,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),284262,281607,254018,257012,224555,202979,219683,204013,194758,201239,175406,158361,172171,205783,169783,130601,109945,153425,109675,116153,125112,152747,151337,144070,179045,190690,195845,186625,182127,181935,181966,180929,178765,183545,188153,197215,24742,23140,16471,11273,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),--,28538,29830,29177,24863,24039,24088,24504,26174,24393,31501,30001,13839,2527,5083,1130,1130,1130,1130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),48117,48117,29063,29139,27743,27743,27196,27196,27414,23644,13067,13067,12941,12941,300,300,--,--,--,1130,508,508,508,508,508,508,108,108,108,108,108,6830,6876,6923,6959,7000,7036,7066,108,108,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产原值(万元),--,247380,--,245378,--,246780,--,238277,--,235356,--,224401,--,205439,--,196761,--,106883,--,94685,--,62581,--,60884,--,52196,--,30221,--,29758,--,28042,--,27213,--,16001,0,14958,11516,0,
累计折旧(万元),--,76576,--,72151,--,67894,--,63136,--,59178,--,55064,--,49985,--,44705,--,25779,--,23411,--,15116,--,13710,--,8770,--,7595,--,6647,--,5714,--,4891,--,4160,0,3588,2750,0,
固定资产净值(万元),--,170803,--,173227,--,178886,--,175141,--,176179,--,169336,--,155454,--,152056,--,81105,--,71274,--,47465,--,47174,--,43426,--,22626,--,23111,--,22328,--,22321,--,11841,0,11370,8766,0,
固定资产减值准备(万元),--,1405,--,1399,--,1487,--,1511,--,1385,--,1396,--,1404,--,1404,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产(万元),--,169398,171223,171828,174319,177399,176390,173630,174389,174793,167792,167941,157948,154050,149145,150652,152468,81105,81131,71274,72026,47465,46800,47174,46456,43426,22509,22626,22761,23111,22886,22328,22184,22321,12117,11841,11273,11370,8766,8203,
在建工程(万元),--,2646,1840,899,655,443,806,5361,5134,6701,12052,11109,11280,10445,20576,19073,14505,2035,2327,8615,7496,12724,11997,11911,8044,7260,22180,20745,17942,14203,6016,3361,3247,3081,5650,1052,276,182,365,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,--,--,0,0,0,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),52863,54451,56321,58002,59663,61298,66053,44119,45042,42298,43313,44315,44899,43124,43418,44449,45508,37005,38051,38793,39563,34067,24367,24700,24503,6202,6417,6604,6126,5340,5531,2346,2425,2505,2586,1546,1608,1683,1595,1865,
开发支出(万元),7761,7367,12966,10132,10363,9336,7589,6316,4210,3932,6529,5986,5164,5104,4733,3604,3491,3350,4612,4836,4759,4706,5316,5212,3641,3531,4186,2495,2625,2502,994,883,826,723,630,597,520,479,364,0,
商誉(万元),336023,336023,362635,363360,363360,364124,368503,368503,368321,368321,369205,369258,363877,362316,363879,342912,344469,184829,184829,184829,114147,40777,42646,42886,7726,3417,3417,3417,3417,3417,3402,239,--,--,--,0,0,0,0,0,
长期待摊费用(万元),4357,4718,2129,2256,2508,3159,1811,1958,2131,2165,2077,2120,2314,1972,827,630,750,669,595,886,474,234,552,268,555,829,58,74,93,120,138,155,180,207,132,149,164,176,130,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
递延所得税资产(万元),13499,12557,8061,8402,8391,7535,6291,5607,4242,3628,2708,3122,2557,2439,1713,2171,2333,1207,972,1072,1204,1068,840,922,795,598,382,322,333,488,185,182,162,141,143,96,153,153,123,102,
其他非流动资产(万元),2400,2295,8060,10537,36761,28359,11152,21953,16143,15541,20076,20226,27911,30567,42872,41293,29029,27480,4238,5834,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
非流动资产合计(万元),652298,666110,682128,683732,708626,703436,689881,679147,673202,665416,668320,667144,642730,625485,632554,606222,593683,338810,317885,317269,240178,141551,133027,133581,92230,65770,59273,56391,53405,49290,39261,36325,35900,35902,28217,22281,21031,21108,11450,10278,
资产总计(万元),936560,947717,936147,940745,933181,906414,909563,883159,867960,866654,843726,825506,814900,831268,802338,736823,703628,492235,427560,433422,365289,294298,284364,277651,271275,256461,255118,243016,235532,231225,221227,217255,214664,219447,216370,219495,45773,44248,27921,21551,
短期借款(万元),183294,165343,172611,193529,217890,211090,187200,182200,182200,175000,170000,140000,140000,169900,180000,155000,140000,78000,48000,63000,20000,--,--,0,--,--,--,--,--,--,--,--,--,--,4200,9200,9200,9200,5200,3500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
