报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),76633,67164,67900,72320,145054,108705,108190,176727,23280,21090,20150,19160,15881,17693,18326,22206,21535,23154,23052,20651,19713,25186,25425,23803,25629,26414,28238,28538,29386,31600,34023,41418,2342,4002,4650,3170,6944,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,156,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),4477,3669,3830,5220,3911,3048,2512,3389,1835,2606,2375,3460,2122,2556,2096,2032,1997,1480,1946,2567,1484,699,1108,1763,581,1728,649,904,1790,897,1525,2102,1205,3263,1464,690,1257,
应收账款(万元),52121,44685,41054,37099,29176,29614,25845,21757,13852,13667,14150,13616,14155,14078,13795,14111,13435,14361,13235,11235,10846,10538,9494,8537,9103,8906,8447,7422,7487,7660,6281,6063,6399,5712,4953,4563,3251,
预付款项(万元),13766,13937,25666,14771,11842,10626,3072,2086,2786,2824,2310,1368,2365,2446,2212,1513,2050,1813,1715,1061,1219,1078,1276,1139,1930,1723,1307,1377,1771,1457,1276,1028,963,1483,999,755,444,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,183,--,--,0,0,0,0,0,
应收股利(万元),--,--,650,--,--,--,160,--,--,--,220,--,250,250,250,--,250,250,330,--,250,250,250,--,300,300,--,--,--,--,--,--,0,200,0,0,0,
其他应收款(万元),5398,11540,3050,2387,2875,2359,2156,2267,1461,1896,1621,855,883,927,628,617,810,753,727,646,605,500,439,358,480,468,459,416,573,450,388,397,1477,392,401,279,274,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
