报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),133080,106702,119237,146001,139483,114041,197686,143917,160459,111481,162569,101430,159633,114512,107011,108492,134827,94197,89897,75905,173516,170386,192851,321592,357508,111442,157743,137691,38582,37577,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
交易性金融资产(万元),430,--,225,69,1211,5559,3273,7358,432,6242,1365,804,1634,868,1027,5597,103,1293,1944,2463,2617,1794,954,189,14306,182,36,1101,880,848,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),7967,6679,7818,7265,9779,5875,7860,7236,6097,8669,8271,8479,5778,7117,10198,6768,10781,9287,7180,6186,3748,2917,4172,7660,5797,4938,6448,3354,4104,4367,
应收账款(万元),55157,49033,46612,49896,53929,64203,49449,46705,52427,47325,39061,53137,48445,51966,33430,41635,45049,46175,33747,43148,42476,42534,32422,31252,46866,26445,47710,29504,25084,25599,
预付款项(万元),7921,10965,5142,9053,19639,13109,8239,10846,7337,3696,3765,9685,10291,7840,6477,6876,13893,24738,6604,18704,15859,26179,5592,41196,8926,9003,7415,8129,8754,5113,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,26,52,--,--,15,96,--,--,--,--,305,341,444,355,785,847,1454,225,582,1800,1907,3113,1808,1344,556,--,--,472,1529,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1147,999,1162,1358,1372,1202,31579,1498,1246,885,1935,1952,2284,2683,3583,1952,2525,3242,2501,2706,7425,4002,2401,9853,4688,2507,2053,3951,51326,129608,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),356394,333594,299891,284798,268200,299428,257100,274627,299414,339588,341719,317402,326484,306212,261524,248002,220508,212978,201631,170596,194405,193779,192924,195727,212319,285490,219265,244664,260131,174161,
