报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2007-03-31,
货币资金(万元),3582204,4234586,3101352,3210916,3555997,4416873,4003338,4185240,4506622,5534351,5613277,6330620,3028545,2380315,1495979,1336046,1098605,1111291,986804,1105166,1213091,1664066,1793121,--,2217561,2296586,1434056,--,1183813,--,1104680,--,2125912,2241658,--,
结算备付金(万元),917137,934932,928345,1005350,943505,1050450,902696,860322,1046762,882540,877500,1165267,586086,564862,428920,329115,314708,359625,316016,363210,269731,237185,842896,--,244366,245605,164088,--,173328,--,1293409,--,272538,250458,--,
拆出资金(万元),--,--,350000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),5706476,4802945,4814710,4302810,2942063,2332919,2354598,2325121,2186182,3187085,2139055,1693300,1363299,727365,715127,356670,511605,209686,316087,315064,142891,121917,278334,--,110682,153978,158964,--,194722,--,337608,--,514335,--,--,
衍生金融资产(万元),7707,16872,14630,3901,3345,7051,39880,44435,29672,7736,6553,11357,6403,5677,6932,6843,5162,3133,341,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),104750,96284,142882,118031,131357,174822,207594,232547,246880,229705,50557,33088,14169,13123,14575,9820,11728,--,6353,--,4242,--,--,--,--,--,--,--,--,--,--,--,--,18685,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),219686,224294,205089,183909,168463,174628,158479,155313,139482,153539,133046,127638,106543,124001,106027,83792,87809,68482,70552,42427,46283,21576,16127,--,9342,8330,3880,--,7724,--,4703,--,4483,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
