报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),29876,15152,16787,13262,20145,16775,16710,15554,29203,29090,16506,10180,10217,13399,21585,15226,11824,18221,22266,18084,44541,55119,9876,7541,12062,12828,14609,15457,21295,15075,22504,30688,37553,8019,10900,8681,2616,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66,74,99,81,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),3343,4395,4837,6635,4237,5108,3663,6378,6598,7268,8433,7918,9546,9487,7808,9191,5921,7501,5250,4567,4966,6208,2781,4985,3265,5173,4670,5418,2538,3387,2762,1766,2230,1150,1017,603,271,
应收账款(万元),44252,44850,29351,33642,31758,34081,33838,34708,31415,29773,29339,30567,30742,28318,28944,23476,22872,20838,23644,23680,25455,23658,24882,22622,21180,22106,21948,19461,22034,16150,17684,14602,8872,8755,7566,8696,7082,
预付款项(万元),10336,11586,5014,3764,6393,3191,3692,2715,1197,2723,4157,2054,4511,4129,3794,2703,10095,7170,7061,3644,8360,5725,6553,4771,9412,5819,8899,6507,4393,8744,6574,4619,6231,5318,3537,3253,478,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,
