报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),64441,45856,20615,73577,59372,72709,122597,144244,138092,154322,122863,134699,176231,175546,198607,143501,85011,83336,83424,97395,87175,60016,82498,83762,29740,33696,54758,55787,85819,111341,63525,86328,103741,94742,60128,103149,42175,53490,34694,11749,23297,33952,33733,37759,15851,23692,37504,24822,62272,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
交易性金融资产(万元),12848,30565,10994,11905,19161,66184,10519,9575,9423,7476,7433,7354,6266,5419,5293,11216,6449,6299,2958,2923,2934,6563,2988,6029,3024,3005,3020,2994,2967,7320,8630,16012,3133,5064,28337,1033,45,49,33,28,23,26,2905,0,0,2280,484,208,459,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,500,500,--,--,--,0,1256,0,--,0,120,120,
应收账款(万元),14554,12718,12706,7188,1671,12710,9026,3508,10686,7868,1674,1673,1,1673,1673,1677,4196,3832,3832,4302,1,3080,3181,5731,4186,9692,14916,12115,9420,4600,9607,8974,9889,768,5094,5660,15894,13512,11545,10471,7437,10274,16936,31464,27402,8731,9867,7856,4763,
预付款项(万元),34,34,34,34,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,46000,46000,--,0,--,254,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,390,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,2749,--,0,--,0,
应收股利(万元),--,--,2022,--,--,--,4986,--,--,--,4523,--,--,--,4660,9900,--,7260,11098,7260,--,--,--,--,6600,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
其他应收款(万元),--,1580,1534,1417,1300,939,948,942,929,937,941,955,929,932,945,1934,1985,16,1152,1163,1151,1498,1520,1504,1499,1499,1527,1507,1183,3830,17899,14900,4845,16319,2276,3300,3298,3570,4085,2135,1230,1259,1456,1510,1456,30530,10504,10468,10043,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
