报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),91812,111660,23056,26951,22090,21664,20960,23939,20805,21670,18094,28807,5714,2728,2894,3436,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3826,1114,1378,3953,5249,5654,951,551,3380,4449,168,10,4243,1837,153,855,
应收账款(万元),38146,35581,33474,30302,29606,27059,20324,15416,12205,12376,16443,15777,11496,15490,8837,2438,
预付款项(万元),7169,6765,7889,9009,5926,2885,4905,5357,4488,3414,5091,3647,1802,1654,797,1462,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),512,383,794,1773,771,300,1486,305,276,246,278,285,248,22,61,5,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),12321,11871,11340,10716,10935,9876,7966,5273,6229,5596,7347,6614,5502,4113,4238,2818,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2359,1946,1986,2015,1797,1678,1885,414,1627,3907,4150,457,374,43,219,203,
流动资产合计(万元),156145,169319,79918,84719,76374,69116,58477,51255,49010,51658,51572,55597,29378,25886,17198,11217,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),24952,21554,10933,2075,2015,2064,1375,--,--,--,--,--,--,--,--,40,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,24013,--,23147,--,22159,--,5561,--,4517,--,3739,3620,3596,--,1821,
累计折旧(万元),--,5905,--,4969,--,2756,--,1398,--,1223,--,1066,986,683,--,211,
固定资产净值(万元),--,18107,--,18177,--,19403,--,4163,--,3294,--,2673,2634,2913,--,1611,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),17591,18107,18641,18177,18761,19403,17361,4163,3233,3294,2621,2673,2634,2913,2477,1611,
在建工程(万元),14625,12743,12525,10520,7633,5964,5466,4804,3949,3895,3834,3775,2714,234,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,1,1,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),9129,9395,3752,3842,3934,4078,3738,1700,1399,1419,853,858,869,892,915,937,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),63826,65409,66453,65762,64639,64230,53435,72,--,--,--,--,--,--,--,--,
长期待摊费用(万元),69,63,57,64,63,69,14,15,18,21,24,4,1,9,3,18,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2345,3057,2786,2877,2993,3229,3407,303,314,307,351,306,254,118,59,14,
其他非流动资产(万元),20010,10375,14623,14481,11333,9451,9884,4461,6949,5886,3431,3307,3586,1738,223,71,
非流动资产合计(万元),152547,140703,129769,117797,111371,108489,94679,15518,15863,14823,11115,10924,10058,5905,3678,2691,
资产总计(万元),308692,310022,209688,202516,187745,177605,153157,66773,64873,66481,62686,66521,39436,31791,20876,13909,
短期借款(万元),83677,81312,10385,9188,3847,1625,--,1110,--,872,1126,4378,4000,3300,2600,1000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1714,--,--,
应付账款(万元),5937,4091,4380,4969,4565,2391,3730,1867,1614,1835,907,1389,1226,3690,848,779,
预收账款(万元),5951,5819,6615,6766,4976,2497,1302,105,184,166,339,286,156,115,258,380,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2462,5039,4999,4897,4411,4313,3433,6,--,72,--,3,67,65,62,51,
应交税费(万元),1339,1431,1025,1935,1104,2468,275,482,51,606,168,467,1296,796,465,195,
应付利息(万元),87,85,58,34,11,55,4,6,7,7,10,13,14,6,6,3,
应付股利(万元),458,458,--,926,--,--,47,47,47,47,47,47,1260,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),9963,9339,8978,9182,10322,15099,570,118,87,95,114,85,72,24,34,11,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
