报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),813489,636265,499305,571505,440691,491922,459370,361198,339697,377929,420069,446176,446741,514578,468233,465121,441274,413708,472931,440309,536486,615827,540456,586902,546455,585896,719872,710756,278691,314722,333100,309461,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,400,--,400,--,--,568,561,546,500,--,--,--,--,--,--,--,18,20,100,3,175,81,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3781,910,1283,420,386,1716,1914,1161,1189,1763,1732,990,3677,4727,4635,4127,2420,2963,3082,2995,1937,--,350,295,773,655,672,555,--,15,25,34,
应收账款(万元),126455,95788,85619,88065,102437,92740,87919,80624,90641,87798,76926,84652,99875,90489,65218,65645,85649,55919,47147,31561,61750,57739,49174,24364,32548,43044,44091,23937,44380,31201,22710,20051,
预付款项(万元),51056,36575,42427,40014,49833,45947,49974,40484,41458,30112,28110,23472,40426,35993,38915,24368,48630,36035,30887,10787,27081,18620,15454,16013,71393,64114,65578,57540,42417,33251,24119,14663,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),6665,7714,5385,2642,3848,3065,2130,2818,1298,1583,685,2282,3140,3236,2416,2078,2262,3063,2394,3353,80,197,5419,4048,180,629,3,657,--,--,1192,737,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,317,317,47,94,
其他应收款(万元),--,17711,17333,16483,25013,18776,17292,18382,21781,22966,17440,14868,22583,16264,19739,17446,76079,31217,10395,25262,42024,27170,25153,15124,11680,13657,9990,7464,11758,11063,11523,11396,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),291239,206529,229634,234419,304217,190455,222400,226273,293136,187629,242667,226168,299000,224256,260051,237309,285951,174195,225960,171094,173937,119698,129178,153240,116329,110522,142189,159185,96054,113497,103657,115047,
