报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),61096,53522,43718,50434,42048,52374,78426,84282,70364,73748,45095,37134,43112,42261,33531,76871,33027,32655,10489,12718,16021,7117,8131,12731,18590,11519,10919,13883,19779,20594,25884,35309,29715,38389,41412,53341,54422,74417,8789,13990,7905,7663,5068,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
交易性金融资产(万元),45308,32782,29353,33522,--,--,--,100,600,--,--,--,--,--,--,919,258,304,218,64,194,701,480,135,--,--,--,--,13,59,187,141,61,61,--,0,0,0,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收票据(万元),5623,5897,2365,1461,6045,8431,2776,2217,3072,1840,2521,3370,2786,1531,1746,1216,1229,2198,1416,157,1754,1904,718,543,613,537,206,991,219,923,724,621,1548,2048,1480,409,761,1083,410,374,623,29,1325,
应收账款(万元),63320,75326,71243,64914,59899,61919,55900,64869,53041,44382,49201,53588,39256,43550,37491,40213,24148,31539,21909,20413,14128,19847,17773,18932,17925,18811,14984,16505,14151,13915,15791,12397,14853,9378,11930,9663,9803,8108,7475,7301,5102,5982,2698,
预付款项(万元),19854,14187,27213,24782,27253,19362,25845,20190,18136,7838,9107,6102,7919,4519,6637,5580,7271,2275,2449,1738,3351,1610,8581,4937,8320,2509,8382,7223,9120,5272,5840,5856,5415,2452,3135,4434,6316,2619,3999,1825,1911,438,1112,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,408,348,260,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,443,--,0,0,0,0,0,0,--,--,
应收股利(万元),--,--,--,436,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,176,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
其他应收款(万元),--,3108,9743,2841,3417,2785,4129,4046,4778,1774,1046,2086,2076,1114,3700,3476,1501,780,1072,1423,1132,578,590,698,631,637,292,1236,582,1625,798,154,173,394,474,264,101,152,321,475,350,525,1922,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
存货(万元),66626,65649,83781,70570,69010,64918,67452,67289,64375,52874,51835,49508,47300,47799,51116,48099,40107,38396,40433,40310,36822,36788,38496,40165,36595,32936,37487,36813,36128,35879,33323,29298,18912,18072,16652,16248,13436,13494,12761,11280,10775,10187,4569,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
其他流动资产(万元),8385,7994,9278,20761,10947,17912,8677,8734,6700,5412,2829,3498,2921,3953,2392,2165,3989,6354,2056,3002,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
流动资产合计(万元),273957,258465,276694,269721,218620,227701,243205,251725,221066,187869,161635,155286,145370,144729,137022,178887,111789,114559,80042,79824,73401,68544,74770,78141,82849,66950,72271,76651,79992,78267,82547,83776,70678,71236,75083,86360,84839,99872,33756,35244,26666,24823,16694,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
可供出售金融资产(万元),--,6240,6240,6240,6240,6240,6240,2865,2865,2865,2865,2865,2865,2865,2815,2815,2815,2815,2815,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
长期股权投资(万元),5616,5616,5714,5714,17877,18492,18676,20059,24731,22208,25920,24517,21877,21095,15760,15363,11393,10902,10678,13179,14030,16567,16172,16066,15756,15521,15371,14125,10843,6709,5685,5561,5374,5198,11,11,11,11,11,11,11,11,11,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
固定资产原值(万元),--,291874,--,252878,--,243263,--,223449,--,188205,--,155771,--,137856,--,119926,--,113778,--,109116,--,99118,--,90474,--,82487,--,43883,--,36039,--,34042,--,29627,--,26049,0,23935,0,24742,22330,16673,12998,
累计折旧(万元),--,110090,--,101926,--,94782,--,86921,--,60427,--,53289,--,45712,--,40966,--,34663,--,30019,--,24195,--,21157,--,16976,--,15494,--,13167,--,12648,--,11373,--,9589,0,8012,0,8401,6958,4394,2486,
固定资产净值(万元),--,181784,--,150952,--,148481,--,136528,--,127778,--,102482,--,92145,--,78960,--,79115,--,79097,--,74923,--,69317,--,65511,--,28389,--,22872,--,21394,--,18254,--,16460,0,15923,0,16340,15372,12279,10512,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
固定资产(万元),--,181784,157383,150952,148342,148481,132903,136528,139228,127778,103315,102482,92000,92145,83697,78960,80413,79115,78081,79097,73903,74923,69889,69317,65149,65511,31607,28389,24291,22872,24703,21394,18371,18254,17326,16460,15683,15923,16215,16340,15372,12279,10512,
在建工程(万元),--,56999,67136,59947,59178,50372,52734,39681,31524,24231,28360,23961,19236,16037,16643,17142,12544,12474,11538,10982,11040,9751,10104,10332,12144,9541,40893,43595,41955,42829,35957,32940,31519,25401,18653,12521,10629,7103,4424,4273,789,1606,--,
工程物资(万元),--,1120,--,1352,943,729,237,293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,167,166,161,113,53,29,139,132,134,64,84,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
无形资产(万元),53164,53688,50819,42608,43428,43090,37751,37779,37318,27731,27731,27839,24343,24478,24920,24671,24697,24787,24903,24951,22995,23009,18087,18121,16787,16832,15124,15149,15167,15184,17694,3142,3159,2988,3004,3021,3037,3053,3070,3086,3119,3177,581,
开发支出(万元),11424,10415,14360,13179,12505,10842,11279,11684,9175,8394,7694,7071,5994,5032,4441,3728,3226,2642,1826,1391,896,456,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
商誉(万元),73431,73431,69111,63889,63889,63889,66941,66941,65577,19548,19794,18914,17763,17763,17950,17950,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
长期待摊费用(万元),1474,1651,1821,1794,1905,2030,1909,889,1215,159,49,78,60,66,90,122,71,98,124,151,178,204,3,3,3,3,5,4,4,4,5,--,--,--,--,0,0,0,0,0,0,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
递延所得税资产(万元),6920,7465,4448,4217,4142,4723,2476,2509,2385,2457,2031,2265,2217,2310,1614,2179,1289,1340,493,442,390,449,776,626,522,516,413,423,540,540,462,412,365,365,298,298,248,248,182,235,147,179,167,
其他非流动资产(万元),12306,7955,17501,21102,14457,9794,23374,21541,18225,23270,20061,21400,23838,17187,16517,16129,4983,3087,2113,1797,699,699,--,--,1440,1440,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
非流动资产合计(万元),411683,406366,394533,370994,372907,358682,354521,340769,332242,258640,237822,231393,210193,198978,184448,179059,141432,137260,132572,131991,124130,126058,115031,114465,111800,109364,103412,101685,92801,88140,84674,63615,58948,52318,39345,32339,29747,26471,24036,24010,19522,17252,11271,
资产总计(万元),685640,664830,671227,640714,591527,586382,597726,592495,553308,446510,399456,386679,355564,343706,321469,357946,253222,251819,212614,211815,197531,194602,189801,192605,194650,176314,175683,178336,172793,166406,167221,147392,129626,123554,114427,118699,114586,126343,57791,59254,46188,42076,27965,
短期借款(万元),157608,163579,155348,154364,146708,136848,147613,144687,132600,119327,100400,97347,80688,72680,64770,111914,27762,27096,59240,62286,59971,51051,47295,46499,61182,42121,41533,43720,40354,35502,34457,31795,23295,21250,13840,13891,11913,15409,14020,14702,10013,10663,5680,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,46,317,347,480,109,--,--,--,--,--,--,--,--,--,27,72,--,46,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应付票据(万元),--,33460,--,38818,24528,27078,44634,39134,29469,28618,32087,23535,24986,23223,32586,24411,17797,21482,16950,12240,12870,11470,14250,16209,15184,15897,17539,15197,16221,18728,19579,15321,6840,5800,7865,10035,9794,9096,9704,10830,10081,9150,3460,
应付账款(万元),--,45960,--,30953,35771,39506,25901,29138,33175,29584,22793,26318,24755,24007,21178,20255,16706,17760,15518,18265,12567,13853,9690,11993,10390,11177,11391,14136,14740,13784,13326,11987,10842,8287,5767,4939,4796,7917,4690,5382,4744,6015,4621,
预收账款(万元),16000,13788,25115,11748,4698,2804,5035,3592,3460,1498,2608,1338,1236,1349,466,1699,351,104,277,138,127,72,234,71,167,136,423,94,87,37,57,203,274,69,215,206,0,51,0,114,74,39,100,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应付职工薪酬(万元),2215,4560,1886,1273,1285,2319,1160,1300,1238,1163,850,998,811,1104,830,856,611,695,557,699,656,741,590,712,690,580,680,636,620,567,554,504,512,859,338,306,290,399,263,260,268,359,467,
应交税费(万元),3324,6461,4558,2546,4228,4323,3352,3376,6033,7072,1601,1656,2452,2666,1897,3174,2631,2976,2186,1595,-1616,-2421,-2550,-2966,-1837,-1522,-2498,-3318,-3842,-4267,-2699,-4549,-2331,-1131,-429,-286,92,451,-10,360,-57,1000,1808,
应付利息(万元),429,919,--,894,390,438,742,727,360,210,249,210,228,198,209,574,369,319,155,404,273,766,618,652,349,259,208,298,350,329,204,94,32,32,18,26,31,31,35,35,45,23,9,
应付股利(万元),48,48,--,48,--,0,22,22,22,22,25,25,--,--,--,--,--,--,--,--,--,--,--,2403,--,--,--,--,--,--,--,--,--,--,--,4005,0,0,0,0,0,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
其他应付款(万元),--,5397,22645,15791,4188,13723,2540,24694,37665,14112,10904,16665,9999,9928,5593,2098,646,1261,1150,1665,72,34,37,31,34,185,31,2914,2324,2052,2277,24,-18,212,1,19,14,26,-2,8,13,335,1416,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
一年内到期的非流动负债(万元),26983,31003,9665,11600,4373,13050,14249,9073,7694,6518,5843,6215,4303,4663,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,3000,0,0,0,--,--,
其他流动负债(万元),3585,3585,3544,3544,3374,5623,--,--,--,--,--,--,--,--,896,924,1037,1037,--,--,--,10000,10000,10000,--,--,--,--,--,--,950,--,--,--,--,0,0,0,0,0,0,--,--,
流动负债合计(万元),311392,308761,295517,271578,229544,245712,245248,255743,251715,208126,177405,174623,149805,140298,128534,165906,67912,72729,96033,97292,84921,85566,80163,85604,86185,68904,69306,73722,70854,66732,68706,55379,39448,35378,27615,33141,26930,36380,28701,31691,25181,27583,17561,
长期借款(万元),21400,16400,36873,35760,39101,38595,38859,35944,11344,11344,6200,1900,1900,3500,5600,5750,4150,1900,1900,2050,2050,2200,2200,--,--,--,--,--,--,--,--,--,--,--,--,0,0,3500,6500,6500,2200,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
长期应付款(万元),--,2559,6659,9901,19065,11345,14554,7209,8262,3761,5760,6504,2633,2795,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
专项应付款(万元),--,--,--,--,--,--,19,19,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,219,219,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,123,123,123,123,123,123,213,226,242,
长期递延收益(万元),15088,15049,14698,11055,9816,9978,7153,7562,7641,7589,7283,4518,4692,4867,1539,1903,2051,2187,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,
递延所得税负债(万元),6791,5821,5326,5271,1574,1566,923,934,850,955,176,182,187,192,216,359,266,277,49,30,39,112,--,--,--,--,--,--,9,9,28,21,9,9,--,0,0,0,0,0,0,--,--,
其他非流动负债(万元),--,--,--,--,--,--,3374,3374,--,--,83,83,886,896,896,982,1555,1555,2436,2253,2341,2129,1734,2147,2197,2247,2127,1967,1193,933,--,--,--,--,--,0,0,0,0,0,0,--,--,
非流动负债合计(万元),46063,39830,63556,61987,69556,61484,64881,55041,28116,23648,19502,13186,10299,12249,8251,8993,8241,6138,4385,4333,4430,4441,3934,2147,2197,2247,2127,1967,1202,942,28,21,9,9,123,123,123,3623,6623,6623,2413,226,242,
负债合计(万元),357455,348591,359074,333565,299101,307196,310129,310784,279831,231775,196908,187809,160104,152547,136784,174899,76153,78867,100418,101624,89351,90007,84098,87751,88382,71151,71433,75690,72056,67674,68735,55400,39457,35388,27739,33265,27054,40004,35324,38314,27594,27809,17803,
实收资本(或股本)(万元),82009,82009,82009,82009,82238,82238,82238,82238,81900,79850,79861,79861,79861,79870,79870,79870,28525,28505,24449,24402,24402,24030,24030,24030,24030,24030,24030,24030,24030,24030,24030,24030,13350,13350,13350,13350,13350,13350,10000,10000,10000,10000,3000,
资本公积(万元),97462,97346,97093,96905,101489,102078,101108,101172,96745,59420,61415,61589,61580,61556,56541,57006,107409,107102,51390,51018,50889,48939,48939,48939,48939,48939,48939,48939,48939,48939,48939,48939,59619,59619,59619,59619,59619,59619,949,949,949,949,--,
减:库存股(万元),3585,3585,3544,3544,3374,5623,5623,5623,840,840,946,946,1772,1792,1792,1906,2592,2592,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
专项储备(万元),1,26,1,12,9,8,20,8,5,29,38,18,11,2,3,4,6,15,18,7,9,10,10,9,6,7,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
盈余公积(万元),13867,13867,9668,9668,9668,9668,8731,8731,8731,8731,6134,6134,6134,6134,4750,4750,4750,4750,3854,3854,3854,3854,3396,3396,3396,3396,2470,2470,2470,2470,1894,1894,1894,1894,1387,1387,1387,1387,869,869,869,556,963,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
未分配利润(万元),121947,110724,110564,106984,87533,78958,89681,83749,78101,61672,48843,47655,45174,41359,41242,39382,34989,31168,28431,26843,24962,23730,25114,24266,25646,24607,24635,23022,21106,19098,18637,17129,15307,13304,12332,11078,13176,11983,10650,9122,6777,2761,6048,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-19,-16,-42,-38,-24,-4,0,1,-0,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
归属于母公司股东权益合计(万元),312018,300822,296218,292212,277441,267406,276334,270574,265048,209294,195561,194490,191047,187213,180717,179056,173054,168911,108122,106106,104102,100520,101450,100615,102013,100979,100075,98461,96545,94537,93499,91991,90169,88166,86689,85434,87532,86339,22467,20940,18595,14266,10011,
少数股东权益(万元),16166,15418,15935,14937,14985,11780,11262,11137,8430,5441,6988,4380,4413,3947,3968,3991,4014,4040,4074,4084,4078,4074,4253,4239,4255,4184,4175,4185,4192,4196,4988,--,--,--,--,0,0,0,0,0,0,--,152,
所有者权益(或股东权益)合计(万元),328184,316239,312154,307149,292426,279186,287596,281710,273477,214735,202549,198870,195460,191159,184685,183047,177068,172951,112196,110190,108180,104594,105703,104854,106268,105163,104249,102646,100737,98732,98487,91991,90169,88166,86689,85434,87532,86339,22467,20940,18595,14266,10162,
负债和所有者权益(或股东权益)总计(万元),685640,664830,671227,640714,591527,586382,597726,592495,553308,446510,399456,386679,355564,343706,321469,357946,253222,251819,212614,211815,197531,194602,189801,192605,194650,176314,175683,178336,172793,166406,167221,147392,129626,123554,114427,118699,114586,126343,57791,59254,46188,42076,27965,		
  
