报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),116284,118705,114682,160616,78879,112436,80206,105138,94832,81803,99130,109286,11649,11646,12900,32577,15014,17146,24106,28899,26478,32786,33592,37695,32977,33566,39055,44606,54362,51865,50539,57598,58677,2759,10063,10615,6964,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4800,4450,--,--,0,1,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),15049,12832,30043,10821,4615,2531,4096,4873,3543,1688,4833,3721,190,33,166,80,55,42,179,20,18,288,--,--,40,143,163,193,149,173,101,101,50,92,0,0,0,
应收账款(万元),148045,106775,97444,100310,90933,82199,73729,66075,65046,72187,54506,48764,39196,29051,28129,28843,27578,23949,24208,26481,25246,22900,23055,25831,24121,23606,24149,22954,14989,16854,15650,14375,12547,11914,9591,6778,3487,
预付款项(万元),14801,16457,6218,2450,4755,5522,1076,1015,1384,2388,1532,633,2682,1788,1954,287,1707,275,536,486,2451,594,1145,711,1190,1188,1170,277,89,265,218,369,269,332,754,230,255,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
