报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2012-09-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,
货币资金(万元),8107422,7433861,7501024,9294566,7793486,9813041,8499002,11208699,13090442,14073734,15743079,21024747,11607109,5970506,2719158,3350162,2355004,3040237,2505564,3499379,3254637,3727382,4451102,4951980,6071850,7371772,4220738,4229472,--,3891405,--,6403162,--,6511969,--,
结算备付金(万元),1828241,1263320,1285797,1123594,2537969,1343270,1451114,1392905,1639801,1951131,1862199,2589072,1287928,1086241,296193,504202,350444,353801,359288,248738,219115,289079,231891,362184,177079,310509,282759,103272,--,220495,--,594083,--,499207,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,181673,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),5369712,4936252,5368997,4695545,3904872,3493628,3902313,4843769,6235544,5745165,7485884,3823002,2066184,839667,374421,376364,394256,919296,657728,700129,344302,565156,400586,600118,242556,412926,269118,242831,--,209998,--,185141,--,--,--,
衍生金融资产(万元),1893,671,356,1031,586,571,2152,3682,4760,2475,2217,708,--,108,--,--,--,--,--,--,--,--,--,--,--,2725,3219,--,--,1832,--,2820,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),175953,152544,191928,112187,165539,146667,201516,197661,144624,190337,1041761,282972,174448,141534,39837,33605,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9431,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
