报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),20045,42231,60132,18588,14867,21736,34449,60763,63800,55237,68577,68196,80087,23744,17581,22761,19805,18341,30475,20984,25675,21602,23186,31049,13864,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,78,11,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),24158,23876,17221,19216,25111,30915,40228,27810,15800,10054,9853,7439,10737,4629,7247,8714,14888,2351,12504,11224,13082,16870,15074,1695,2773,
应收账款(万元),34586,31369,38313,38455,37588,32914,37932,37632,37234,32792,38043,37997,32761,35485,36686,39695,35563,32908,32680,32914,33040,35778,27196,28445,28222,
预付款项(万元),3163,3584,3030,4367,3750,4163,2562,2221,2246,5184,13773,11322,7504,8071,6033,7746,5408,12120,13715,8993,3536,10848,11106,27192,23019,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,6,62,14,84,112,232,716,279,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
