报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),3694,2360,2077,4572,1884,3303,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),4249,3794,4197,3175,2912,2284,
应收账款(万元),6500,7728,6784,6546,5694,5872,
预付款项(万元),206,94,76,123,58,43,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),46,35,66,55,82,81,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),2312,1971,1626,1373,1376,1268,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),449,425,387,--,1000,--,
流动资产合计(万元),17457,16407,15213,15844,13005,12852,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),20917,20562,19899,9198,9022,--,
累计折旧(万元),6670,6329,5646,4852,4214,--,
固定资产净值(万元),14246,14232,14253,4346,4808,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),14246,14232,14253,4346,4808,5011,
在建工程(万元),--,--,--,7313,5907,1015,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),2064,2091,2001,2034,2001,2045,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),99,104,98,96,80,75,
其他非流动资产(万元),16,80,344,385,74,37,
非流动资产合计(万元),16426,16507,16697,14174,12871,8183,
资产总计(万元),33883,32913,31909,30018,25877,21034,
短期借款(万元),--,--,--,--,1000,1000,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,200,--,--,--,
应付账款(万元),2044,1936,1929,1851,2143,1025,
预收账款(万元),14,9,80,12,6,3,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),718,677,905,927,835,773,
应交税费(万元),262,291,205,422,353,212,
应付利息(万元),--,--,--,--,2,2,
应付股利(万元),--,--,--,455,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),46,21,16,795,781,776,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),3084,2936,3335,4462,5120,3791,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),89,88,78,71,67,70,
长期递延收益(万元),--,--,--,6,26,45,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),89,88,78,78,93,116,
负债合计(万元),3173,3024,3414,4540,5213,3907,
实收资本(或股本)(万元),7950,7950,7950,7950,6300,6300,
资本公积(万元),16675,16675,16675,16675,--,--,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),393,393,393,97,2151,1788,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),5692,4872,3478,756,12213,9039,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),30710,29890,28496,25478,20664,17128,
少数股东权益(万元),--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),30710,29890,28496,25478,20664,17128,
负债和所有者权益(或股东权益)总计(万元),33883,32913,31909,30018,25877,21034,		
  
