报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),1209,4644,7903,12430,33496,6999,14204,18383,23303,12097,963,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),776,366,23,76,285,411,328,--,154,--,--,
应收账款(万元),16857,15656,15462,13589,11498,11123,9074,4627,4934,4566,2809,
预付款项(万元),155,185,231,127,4517,515,529,3748,2534,2584,846,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,37,--,--,163,73,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),38,34,32,35,71,49,26,23,50,25,246,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),3349,2141,1947,1640,2417,3802,4228,5411,5515,6924,4367,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2709,594,318,329,--,972,307,260,9,8,--,
流动资产合计(万元),25093,23620,25917,28225,52320,23871,28696,32615,36571,26204,9230,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),5420,5420,5420,5420,200,200,200,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),2028,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,38527,--,37179,--,5218,5208,5131,4751,3712,3235,
累计折旧(万元),--,2841,--,2212,--,1869,1706,1378,1074,810,654,
固定资产净值(万元),--,35687,--,34967,--,3349,3501,3753,3677,2902,2581,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),34507,35687,34703,34967,3338,3349,3501,3753,3677,2902,2581,
在建工程(万元),216,--,--,--,28558,31235,32020,11259,4933,106,16,
工程物资(万元),--,--,--,--,--,--,--,13,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5086,5262,5150,5177,4762,4787,161,164,171,179,186,
开发支出(万元),--,--,--,--,--,--,--,--,--,10,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,364,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),153,153,135,135,114,115,96,45,44,52,36,
其他非流动资产(万元),5557,6465,6000,2423,--,--,--,--,--,--,--,
非流动资产合计(万元),52966,52987,51409,48122,37335,39686,35978,15234,8825,3248,2819,
