报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),56008,9225,6260,3603,9913,3693,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,15,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),194,14,--,--,--,--,
应收账款(万元),10720,7308,5602,6333,3626,2740,
预付款项(万元),515,464,836,685,352,204,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),48,48,8,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),211,276,251,607,8729,956,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),17832,16937,15662,12032,8760,5880,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),14540,13715,16605,6796,2409,5170,
流动资产合计(万元),100067,47987,45224,30056,33789,18659,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),178,176,192,98,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,26760,26271,22985,11920,--,
累计折旧(万元),--,7123,6221,4413,3051,--,
固定资产净值(万元),--,19637,20050,18572,8869,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),19247,19637,20050,18572,8869,5600,
在建工程(万元),2998,1124,758,1582,5759,2131,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),3411,3495,3592,3938,4276,3132,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),1725,1725,1725,1725,1725,--,
长期待摊费用(万元),286,326,180,16,20,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),282,248,186,146,90,97,
其他非流动资产(万元),--,68,--,--,--,--,
非流动资产合计(万元),28127,26799,26682,26076,20738,10960,
资产总计(万元),128194,74786,71906,56132,54528,29619,
短期借款(万元),--,--,--,--,1800,--,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),2362,2387,2155,2087,2222,1064,
预收账款(万元),1441,992,2174,1728,2599,2630,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),1353,1255,1627,1271,1147,650,
应交税费(万元),1678,2153,1520,2900,3154,1899,
应付利息(万元),--,--,--,--,4,--,
应付股利(万元),--,--,2766,--,14002,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),1683,449,466,548,1001,235,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),8517,7235,10709,8533,25928,6477,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),2902,3019,3185,3420,1164,678,
递延所得税负债(万元),--,--,--,--,--,2,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),2902,3019,3185,3420,1164,681,
负债合计(万元),11419,10254,13893,11954,27092,7158,
实收资本(或股本)(万元),40010,36000,36000,36000,5188,2950,
资本公积(万元),41212,2600,2600,2416,5644,459,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),3483,3483,3483,1192,2246,1721,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),31030,21636,15308,4307,14051,17282,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),115734,63716,57390,43910,27124,22413,
少数股东权益(万元),1041,815,623,268,312,48,
所有者权益(或股东权益)合计(万元),116775,64531,58013,44178,27436,22461,
负债和所有者权益(或股东权益)总计(万元),128194,74786,71906,56132,54528,29619,		
  
