报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),120074,118615,99218,113148,134863,75513,115286,126551,110128,112530,110811,110344,149132,85996,63093,59876,47248,42605,54473,53545,44336,50988,41994,36340,54620,41745,40861,37887,54811,44056,37246,44163,36426,39407,36483,32417,35029,31481,36160,25687,27647,25288,35645,31489,30306,39212,33173,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
交易性金融资产(万元),19708,5061,--,18256,12412,55,66,140,104,121,149,--,--,--,--,--,--,4015,5125,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
应收票据(万元),--,20220,26901,20672,21570,21043,26088,23579,32428,25001,22441,27100,25011,30441,30270,33121,33485,31951,38966,34692,30791,27403,28795,33151,34164,33184,19324,23255,22089,22040,16792,19173,20514,24503,19365,27871,29134,28007,11767,24425,19527,18321,17532,9606,11895,10530,8346,
应收账款(万元),--,144157,124944,139123,137321,133499,117362,137393,130840,133983,127904,125510,115587,120855,132598,89674,89787,110720,100465,94445,92240,91316,82442,74867,64489,67805,63505,65393,53947,55031,47425,46316,40908,42678,44038,43950,35377,35780,32233,32312,30929,32594,27062,30828,34600,32947,29531,
预付款项(万元),16255,17415,16053,18954,20916,16267,14053,9288,14304,28267,11852,29432,27818,17597,15099,25329,31471,11622,8721,10771,22098,15732,14629,15876,15547,10084,13577,7497,10985,6383,9757,12069,12326,11643,7037,5536,4767,3932,6328,4161,4299,5790,5015,8763,8767,7006,5666,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
应收利息(万元),--,1090,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62,25,--,--,--,--,105,105,210,210,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
其他应收款(万元),4046,3486,2268,6996,5618,2520,3128,3625,3974,4604,3551,6113,6826,7934,6493,4825,3829,5862,5442,8891,5072,6261,4899,8254,6527,7067,5394,6094,6950,6884,5672,6505,6184,6462,5553,7351,6067,6263,8021,5960,9988,8220,8710,6839,6261,8934,8149,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
存货(万元),114298,109144,110449,105321,100113,89182,90872,95970,98234,95420,97415,105430,101117,90912,85989,94487,94282,86432,81689,81425,83750,84948,77191,72815,73819,75447,72961,72787,80626,71302,59798,54566,59795,52748,51597,45650,46727,42548,44147,41982,43923,37964,39515,43170,45766,46628,49072,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
其他流动资产(万元),8641,11564,16223,12529,2084,57846,22308,6934,26021,20827,25729,8461,9695,3072,4654,6035,20836,14216,23854,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,1348,1348,--,--,0,0,0,0,0,22,0,
流动资产合计(万元),454811,430752,396055,435000,434898,395926,389162,403480,416032,420752,399852,412390,435186,356807,338197,313346,320938,307485,318760,283769,278287,276649,249950,241407,249272,235543,215833,212913,229408,205697,176690,182790,176153,177440,164074,164123,158449,149357,138656,134527,136313,128177,133478,130695,137595,145279,133936,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
可供出售金融资产(万元),--,--,14922,14998,14915,15194,14933,14868,14425,7194,8698,6970,9847,9615,8306,6821,3566,3628,3524,3198,2770,3296,3383,3138,3336,3342,3100,3651,4502,4838,4794,4246,5961,7234,7023,7574,7815,6771,5152,6189,6861,10249,13158,13406,12171,9963,10654,
持有至到期投资(万元),--,--,54195,39946,40027,42586,46647,--,--,20842,21752,21696,23565,23726,23643,29422,25612,28111,27959,--,--,--,--,1000,1000,2000,2000,2000,2000,2000,2000,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,1348,1348,1348,0,
