报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),162722,153207,132553,94938,119796,172636,159244,41917,61686,91866,87492,86088,80950,58858,60377,78525,113090,52515,59903,62723,76743,41344,47620,48811,59907,28697,56772,51729,65338,118096,36454,34870,65455,25591,12162,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,800,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,9,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),233963,180012,183491,57269,62434,52471,41951,4877,9780,5930,13601,6554,14172,7510,12680,5372,2499,5057,11306,2529,3592,5929,7365,2663,2791,393,2577,3006,4230,1645,2798,489,8343,1265,2322,
应收账款(万元),548752,488252,484527,484402,417992,434069,368913,176163,178014,189342,189285,224098,221905,207535,204926,187407,178633,151628,139758,124534,119699,110378,107969,99096,89527,78441,70887,54031,51037,40795,41026,34228,35245,16694,10947,
预付款项(万元),151378,196026,132152,190799,161983,144518,76796,22046,13470,18918,13902,7835,15338,15390,11750,20334,12723,18963,16024,25084,17713,13250,10089,17622,16723,20894,12681,22318,16683,15820,7303,10163,15246,16057,12242,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
